distance,name,price,rating,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,req_cat
553,Mingles,3.0,6.1,40.884441,-73.831492,40.884441,-73.831492,13065
332,Royal Caribbean Jamaican Bakery,2.0,5.8,40.88817,-73.831495,40.88817,-73.831495,13065
372,Faity's Kitchen,2.0,5.8,40.889468,-73.831454,40.889468,-73.831454,13065
306,Dyre Ave Diner,1.0,5.6,40.887954,-73.831487,40.887954,-73.831487,13065
312,Rayan Candy & Newspaper,1.0,,40.88845,-73.83111,40.88845,-73.83111,13065
905,An Beal Bocht Cafe,1.0,8.9,40.887456,-73.904878,40.887456,-73.904878,13065
938,Tin Marin,2.0,8.9,40.886971,-73.906875,40.886971,-73.906875,13065
923,Fenwick's Bar & Grill,2.0,8.7,40.887033,-73.904512,40.887033,-73.904512,13065
909,Yo-Burger,1.0,8.6,40.887348,-73.906933,40.887348,-73.906933,13065
757,Tortoise & Hare,1.0,7.7,40.894263,-73.896723,40.894263,-73.896723,13065
892,Greek Express,2.0,7.8,40.887334,-73.907458,40.887334,-73.907458,13065
876,Salvatores of Soho,2.0,7.6,40.887456,-73.906937,40.887456,-73.906937,13065
798,Jake's Steakhouse,3.0,7.2,40.891644,-73.897676,40.891644,-73.897676,13065
987,Rolen Bagels,1.0,7.3,40.886689,-73.907346,40.886689,-73.907346,13065
874,Burrito Shop,1.0,7.2,40.889838,-73.898529,40.889838,-73.898529,13065
859,Broadway Joe's Pizza,2.0,7.1,40.889946,-73.898533,40.889946,-73.898533,13065
985,Tiny's Diner,2.0,6.9,40.886689,-73.907346,40.886689,-73.907346,13065
920,Jasper's Deli,1.0,6.6,40.887086,-73.904558,40.887086,-73.904558,13065
908,New Riverdale Deli,1.0,6.5,40.887127,-73.905041,40.887127,-73.905041,13065
802,Burger King,1.0,6.2,40.891205,-73.897923,40.891205,-73.897923,13065
798,Asian Tokyo,2.0,,40.89098,-73.898265,40.89098,-73.898265,13065
849,Gourmet Market and Bagel,1.0,,40.890277,-73.898282,40.890277,-73.898282,13065
856,Stiff Weasel,1.0,,40.890277,-73.898282,40.890277,-73.898282,13065
861,Blue Charcoal Grill,2.0,,40.889889,-73.898662,40.889889,-73.898662,13065
868,Estrellita Poblana Taqueria Express,1.0,,40.889838,-73.898529,40.889838,-73.898529,13065
872,The Last Stop,2.0,,40.889781,-73.898658,40.889781,-73.898658,13065
877,Best Deli And Grill,1.0,,40.889673,-73.898654,40.889673,-73.898654,13065
932,Taste of the Palace,2.0,,40.887024,-73.904862,40.887024,-73.904862,13065
915,Corner Cafe & Bakery,1.0,5.3,40.88724,-73.906929,40.88724,-73.906929,13065
717,Locke’s Dinning Hall,,,40.889701,-73.901721,40.889701,-73.901721,13065
619,Tin Marin,2.0,8.9,40.886971,-73.906875,40.886971,-73.906875,13065
546,Blue Bay Restaurant,2.0,8.5,40.88624,-73.910001,40.88624,-73.910001,13065
597,Yo-Burger,1.0,8.6,40.887348,-73.906933,40.887348,-73.906933,13065
746,An Beal Bocht Cafe,1.0,8.9,40.887456,-73.904878,40.887456,-73.904878,13065
632,Liebman's Kosher Deli,2.0,8.5,40.885489,-73.909798,40.885489,-73.909798,13065
687,Cocina Chente,1.0,8.5,40.886096,-73.90728,40.886096,-73.90728,13065
593,Palace of Japan,2.0,8.3,40.885804,-73.91016,40.885804,-73.91016,13065
790,Fenwick's Bar & Grill,2.0,8.7,40.887033,-73.904512,40.887033,-73.904512,13065
676,The Hill Bistro,2.0,7.9,40.886367,-73.907247,40.886367,-73.907247,13065
580,Greek Express,2.0,7.8,40.887334,-73.907458,40.887334,-73.907458,13065
652,Moss Cafe,1.0,7.8,40.885161,-73.909961,40.885161,-73.909961,13065
609,Pizza Chef,1.0,7.6,40.885581,-73.910415,40.885581,-73.910415,13065
577,Salvatores of Soho,2.0,7.6,40.887456,-73.906937,40.887456,-73.906937,13065
652,Rolen Bagels,1.0,7.3,40.886689,-73.907346,40.886689,-73.907346,13065
809,Goodfellas Pizza & Pasta,1.0,7.2,40.887035,-73.904425,40.887035,-73.904425,13065
599,Blackstone Bar & Grill,2.0,6.9,40.887281,-73.907412,40.887281,-73.907412,13065
535,Bella Notte Pizzeria,2.0,6.8,40.886415,-73.909526,40.886415,-73.909526,13065
572,Metate,1.0,6.8,40.886128,-73.910172,40.886128,-73.910172,13065
647,Tiny's Diner,2.0,6.9,40.886689,-73.907346,40.886689,-73.907346,13065
565,Bagel Corner,1.0,6.5,40.88605,-73.911089,40.88605,-73.911089,13065
784,Jasper's Deli,1.0,6.6,40.887086,-73.904558,40.887086,-73.904558,13065
741,New Riverdale Deli,1.0,6.5,40.887127,-73.905041,40.887127,-73.905041,13065
539,Cumin Indian Restaurant,2.0,5.9,40.886296,-73.90996,40.886296,-73.90996,13065
536,Neem,2.0,,40.886483,-73.90983,,,13065
556,Moon Star Grill,2.0,,40.886296,-73.90996,40.886296,-73.90996,13065
328,Kingsbridge Social Club,1.0,9.2,40.884504,-73.902052,40.884504,-73.902052,13065
418,Bronx Ale House,2.0,8.9,40.884623,-73.89956,40.884623,-73.89956,13065
533,Tibbett Diner,1.0,9.0,40.880483,-73.90904,40.880483,-73.90904,13065
357,Sam's Pizza,1.0,8.3,40.879424,-73.906154,40.879424,-73.906154,13065
350,Smashburger,1.0,8.2,40.884389,-73.900252,40.884389,-73.900252,13065
372,The Bronx Public,1.0,8.2,40.878255,-73.903351,40.878255,-73.903351,13065
651,An Beal Bocht Cafe,1.0,8.9,40.887456,-73.904878,40.887456,-73.904878,13065
295,El Malecon Restaurant,2.0,8.0,40.879257,-73.904311,,,13065
700,Tin Marin,2.0,8.9,40.886971,-73.906875,40.886971,-73.906875,13065
620,Cocina Chente,1.0,8.5,40.886096,-73.90728,40.886096,-73.90728,13065
727,Yo-Burger,1.0,8.6,40.887348,-73.906933,40.887348,-73.906933,13065
720,Liebman's Kosher Deli,2.0,8.5,40.885489,-73.909798,40.885489,-73.909798,13065
457,Tilila Casa Publica & Cocina,2.0,8.0,40.883853,-73.897998,40.883853,-73.897998,13065
789,Blue Bay Restaurant,2.0,8.5,40.88624,-73.910001,40.88624,-73.910001,13065
364,Estrellita Poblana V,1.0,7.8,40.87958,-73.906379,40.87958,-73.906379,13065
367,Buffalo Wild Wings,1.0,7.8,40.884246,-73.899502,40.884246,-73.899502,13065
425,S&S Cheesecake,1.0,7.8,40.884618,-73.899735,40.884618,-73.899735,13065
633,The Hill Bistro,2.0,7.9,40.886367,-73.907247,40.886367,-73.907247,13065
375,Chipotle Mexican Grill,1.0,7.5,40.884334,-73.900294,40.884334,-73.900294,13065
730,Moss Cafe,1.0,7.8,40.885161,-73.909961,40.885161,-73.909961,13065
746,Greek Express,2.0,7.8,40.887334,-73.907458,40.887334,-73.907458,13065
763,Pizza Chef,1.0,7.6,40.885581,-73.910415,40.885581,-73.910415,13065
755,Salvatores of Soho,2.0,7.6,40.887456,-73.906937,40.887456,-73.906937,13065
659,Rolen Bagels,1.0,7.3,40.886689,-73.907346,40.886689,-73.907346,13065
173,IHOP,2.0,6.6,40.880398,-73.904044,40.880398,-73.904044,13065
452,Tibbett Diner,1.0,9.0,40.880483,-73.90904,40.880483,-73.90904,13065
515,Sam's Pizza,1.0,8.3,40.879424,-73.906154,40.879424,-73.906154,13065
769,Indian Road Cafe,2.0,8.4,40.872782,-73.918297,40.872782,-73.918297,13065
636,The Bronx Public,1.0,8.2,40.878255,-73.903351,40.878255,-73.903351,13065
606,El Malecon Restaurant,2.0,8.0,40.879257,-73.904311,,,13065
508,Estrellita Poblana V,1.0,7.8,40.87958,-73.906379,40.87958,-73.906379,13065
1007,Liebman's Kosher Deli,2.0,8.5,40.885489,-73.909798,40.885489,-73.909798,13065
920,Guacamole Taqueria,1.0,8.0,40.869585,-73.9166,40.869585,-73.9166,13065
661,Park Terrace Deli,1.0,7.6,40.871257,-73.914648,40.871257,-73.914648,13065
969,Moss Cafe,1.0,7.8,40.885161,-73.909961,40.885161,-73.909961,13065
848,Brown Sugar Restaurant,3.0,7.6,40.869888,-73.915341,40.869888,-73.915341,13065
1003,Liffy II Bar,2.0,7.5,40.86924,-73.917375,40.86924,-73.917375,13065
489,Auntie Anne's,1.0,6.8,40.877566,-73.904902,40.877566,-73.904902,13065
704,IHOP,2.0,6.6,40.880398,-73.904044,40.880398,-73.904044,13065
671,KFC,1.0,6.2,40.880125,-73.904165,40.880125,-73.904165,13065
168,151 Grocery/Deli,1.0,,40.877403,-73.909056,40.877403,-73.909056,13065
219,Taqueria Sinaloense,1.0,,40.874657,-73.910704,40.874657,-73.910704,13065
226,El Guacamole Restaurant,1.0,,40.874552,-73.910613,40.874552,-73.910613,13065
245,China Wang,1.0,,40.874451,-73.910346,40.874451,-73.910346,13065
687,Twin Donut,1.0,5.7,40.87115,-73.914644,40.87115,-73.914644,13065
570,Popeyes Louisiana Kitchen,1.0,5.4,40.87919,-73.905073,40.879238,-73.905008,13065
651,Panda Restaurant,1.0,,40.879957,-73.904378,40.879957,-73.904378,13065
736,Kamil Grocery,1.0,,40.871952,-73.904691,40.871952,-73.904691,13065
770,Manny Deli,1.0,,40.872921,-73.902757,40.872921,-73.902757,13065
969,Bello Deli Food,1.0,,40.869353,-73.917204,40.869353,-73.917204,13065
21,Rambling House,2.0,8.7,40.898441,-73.867043,40.898441,-73.867043,13065
58,Katonah Pizza & Pasta,1.0,8.2,40.898697,-73.867622,40.898697,-73.867622,13065
265,Patrizia's Of Woodlawn,2.0,8.1,40.90059,-73.86756,40.90059,-73.86756,13065
73,Curry Spot,2.0,7.7,40.897738,-73.867061,40.897738,-73.867061,13065
745,Rory Dolan's,2.0,8.7,40.904993,-73.868686,40.904993,-73.868686,13065
579,Irish Coffee Shop,2.0,7.7,40.903588,-73.866575,40.903588,-73.866575,13065
578,J P Clarkes Saloon,2.0,7.4,40.903368,-73.866742,40.903368,-73.866742,13065
554,Moriartys Bar And Restaurant,2.0,6.8,40.902981,-73.864975,40.902981,-73.864975,13065
559,McKeons Pub,1.0,6.3,40.90294,-73.864492,40.90294,-73.864492,13065
652,McLean Corner Cafe,1.0,6.2,40.904092,-73.867995,40.904092,-73.867995,13065
136,Woodlawn Deli,1.0,,40.897083,-73.8673,40.897083,-73.8673,13065
165,Bella Napoli,1.0,,40.896651,-73.867284,40.896651,-73.867284,13065
185,Katonah Irish Mini Mart,1.0,,40.899825,-73.867882,40.899825,-73.867882,13065
207,Tri-Edy's Deli,1.0,,40.900089,-73.868111,40.900089,-73.868111,13065
251,The Avenue,2.0,,40.900484,-73.867469,40.900484,-73.867469,13065
1111,Danny Macs,2.0,6.3,40.905019,-73.869782,40.905019,-73.869782,13065
453,Bella Napoli 2,1.0,,40.896732,-73.862074,40.896732,-73.862074,13065
516,Mourad's Deli & Grocery,1.0,,40.8964,-73.872795,40.8964,-73.872795,13065
531,Hearty & Healthy,1.0,,40.902897,-73.866155,40.902897,-73.866155,13065
550,Dee's Deli & Cafe,1.0,,40.903009,-73.865984,40.903009,-73.865984,13065
563,Oshima,2.0,,40.903437,-73.866175,40.903437,-73.866175,13065
754,The Rail House Restaurant,2.0,,40.903651,-73.862064,40.903651,-73.862064,13065
783,Kelly's Pub,1.0,,40.895829,-73.876059,40.895829,-73.876059,13065
907,Loong Xin Asian cuisine,2.0,,40.893533,-73.858321,40.893533,-73.858321,13065
963,Jerk House,2.0,,40.894715,-73.85648,40.894715,-73.85648,13065
217,Sal's Pizzeria,1.0,8.3,40.875199,-73.879677,40.875199,-73.879677,13065
415,Marconi Pizzeria,1.0,8.8,40.880974,-73.877876,40.880974,-73.877876,13065
912,Madden's Bedford Pub,1.0,7.5,40.873021,-73.888617,40.873021,-73.888617,13065
931,Jerome Pizza,1.0,7.4,40.873127,-73.888708,40.873127,-73.888708,13065
667,La Cabana 2 Salvadorena Restaurant,1.0,7.1,40.87571,-73.887076,,,13065
712,La Nueva Estrella,3.0,7.0,40.87123,-73.877113,,,13065
497,Subway,1.0,6.7,40.872808,-73.878144,40.872808,-73.878144,13065
495,Golden Krust Caribbean Restaurant,2.0,6.6,40.881487,-73.878946,40.881487,-73.878946,13065
926,Bedford Cafe & Restaurant,2.0,7.0,40.873333,-73.889066,40.873333,-73.889066,13065
683,McDonald's,1.0,6.7,40.879082,-73.871675,40.879082,-73.871675,13065
58,Mar Y Tierra Resturant & Lounge,1.0,,40.876718,-73.879471,40.876718,-73.879471,13065
238,Top Fresh Tortillas,1.0,,40.875084,-73.879936,40.875084,-73.879936,13065
375,New Ming Ling Kitchen,1.0,,40.879924,-73.876699,40.879924,-73.876699,13065
390,Bainbridge Fish Market,3.0,,40.873853,-73.879496,40.873853,-73.879496,13065
913,Hung Hing Chinese Restaurant,1.0,6.1,40.87119,-73.886316,40.87119,-73.886316,13065
491,El Rey Del Bistec Restaurant,,,40.880562,-73.883335,40.880562,-73.883335,13065
494,Kam Man Kitchen,1.0,,40.872911,-73.878323,40.872911,-73.878323,13065
497,Global Deli 1,1.0,,40.880729,-73.883123,40.880729,-73.883123,13065
526,Bronx Ny Pizza,1.0,,40.88095,-73.882956,40.88095,-73.882956,13065
612,Caribe Restaurant,2.0,5.6,40.882507,-73.881261,40.882507,-73.881261,13065
550,Corner Pizza,1.0,,40.880732,-73.883839,,,13065
553,La Gondola Deli,1.0,,40.875432,-73.885247,40.875432,-73.885247,13065
557,House Pizza,1.0,,40.874043,-73.88467,40.874043,-73.88467,13065
586,Club Valle Restaurant Cafè,2.0,,40.878563,-73.872926,40.878563,-73.872926,13065
590,Green Mermaid,1.0,,40.872988,-73.875348,40.872988,-73.875348,13065
523,Gold Star DBA Platinum Dining,2.0,9.0,40.883205,-73.862717,40.883205,-73.862717,13065
