Borough,Neighbourhood,Latitude_x,Longitude_x,Median_Cost_Per_Studio,Median_Cost_Per_1_Bed,Median_Cost_Per_2_Bed,Avg_Cost_Per_Studio,Avg_Cost_Per_1_Bed,Avg_Cost_Per_2_Bed,Avg_Cost_Per_3_Bed,Latitude_y,Longitude_y,Zipcode,Restaurant_Count_Name,Restaurant_Mean_Distance (m),Restaurant_Mean_Rating,Restaurant_Mean_Price,Restaurant_Sum_Reviews,School_Count_Name,Park_Count_Name,Transit_Count_Name,Grocery_Count_Name,Rat_Mean_Case Open?,Rat_Mean_Days Complaint Open,Uber_Sum_Ride Count,Uber_Mean_Ride Count,resto_cluster,Transport_Cluster,Location_Cluster,Resto_Rat_Cluster,POI_Cluster
Bronx,Melrose,40.819754370594936,-73.90942160757436,,1550.0,2095.0,,,,,40.819754370594936,-73.90942160757436,10455.0,53,653.0954000239217,3.786367880485528,1.3829787234042554,8149.0,9.0,12.0,12.0,14.0,0.0097902097902097,9.416783216783216,0.0,0.0,1,1,0,2,0
Bronx,Mott Haven,40.80623874935177,-73.91609987487575,1627.0,1550.0,2295.0,,,,,40.80623874935177,-73.91609987487575,10454.0,25,678.72,3.281045751633988,1.375,0.0,0.0,0.0,0.0,0.0,0.0049261083743842,9.26231527093596,4.0,1.0,1,0,0,2,1
Bronx,Port Morris,40.801663627756206,-73.91322139386135,,,,,,,,40.801663627756206,-73.91322139386135,10454.0,73,645.1616448834689,4.013375350140056,1.4727272727272729,7333.0,28.0,18.0,19.0,5.0,0.0,8.682926829268293,1.0,1.0,1,0,0,2,0
Bronx,Longwood,40.81509904545822,-73.8957882009446,,3395.0,1563.5,,,,,40.81509904545822,-73.8957882009446,10459.0,23,641.5217391304348,3.2047930283224404,1.2608695652173914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2,1
Bronx,Hunts Point,40.80972987938709,-73.88331505955291,,1550.0,1500.0,,,,,40.80972987938709,-73.88331505955291,10474.0,60,647.7076822958363,3.944619799139168,1.4333333333333331,3596.0,14.0,8.0,15.0,9.0,0.0,4.666666666666667,0.0,0.0,1,1,0,2,1
Bronx,Morrisania,40.82359198585534,-73.90150648943059,,1500.0,1879.0,,,,,40.82359198585534,-73.90150648943059,10459.0,23,699.7826086956521,3.362745098039216,1.5,0.0,0.0,0.0,0.0,0.0,0.0124401913875598,-30.3377990430622,0.0,0.0,1,1,0,2,1
Bronx,Soundview,40.821012197914015,-73.86574609554924,,,,,,,,40.821012197914015,-73.86574609554924,10473.0,23,536.5217391304348,2.549019607843137,1.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,15.140350877192985,0.0,0.0,1,1,0,1,1
Bronx,Clason Point,40.80655112003589,-73.85414416189266,3000.0,1625.0,2100.0,,,,,40.80655112003589,-73.85414416189266,10473.0,7,780.2857142857143,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,8.264705882352942,0.0,0.0,1,1,0,2,1
Bronx,Throgs Neck,40.81510925804005,-73.81635002158441,2288.0,1700.0,1950.0,,,,,40.81510925804005,-73.81635002158441,10465.0,20,660.05,3.519607843137256,1.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.01,13.29,0.0,0.0,1,1,0,2,1
Bronx,Country Club,40.844245936947374,-73.8240992675385,,,,,,,,40.844245936947374,-73.8240992675385,10461.0,25,668.96,3.2483660130718963,1.6,0.0,0.0,0.0,0.0,0.0,0.0,16.295081967213115,0.0,0.0,1,1,0,2,1
Bronx,Parkchester,40.837937822267286,-73.85600310535783,1700.0,1700.0,1889.0,,,,,40.837937822267286,-73.85600310535783,10462.0,25,580.32,2.8702865761689296,1.6363636363636365,0.0,0.0,0.0,0.0,0.0,0.0107142857142857,12.321428571428571,6.0,1.0,1,0,0,2,1
Bronx,Westchester Square,40.8406194964327,-73.84219407604444,,1700.0,1725.0,,,,,40.8406194964327,-73.84219407604444,10461.0,25,455.16,3.099192618223761,1.375,0.0,0.0,0.0,0.0,0.0,0.0,12.597560975609756,1.0,1.0,1,0,0,2,1
Bronx,Van Nest,40.84360847124718,-73.8662991807561,,1625.0,2200.0,,,,,40.84360847124718,-73.8662991807561,10460.0,54,533.4953869989029,3.5114379084967324,1.3695652173913044,7408.0,22.0,21.0,28.0,12.0,0.0023364485981308,8.282710280373832,0.0,0.0,1,1,0,2,0
Bronx,Morris Park,40.847549063536334,-73.85040178030421,,1500.0,2050.0,,,,,40.847549063536334,-73.85040178030421,10461.0,25,626.76,3.0915032679738568,1.4782608695652173,0.0,0.0,0.0,0.0,0.0,0.0077519379844961,11.976744186046512,0.0,0.0,1,1,0,2,1
Bronx,Belmont,40.85727710073895,-73.88845196134804,,1400.0,1856.0,,,,,40.85727710073895,-73.88845196134804,10458.0,82,589.7970134864462,4.038247397724522,1.5733333333333333,20614.0,22.0,28.0,38.0,12.0,0.0034642032332563,10.750577367205542,5.0,1.0,1,0,0,0,0
Bronx,Spuyten Duyvil,40.88139497727086,-73.91719048210393,,,,,,,,40.88139497727086,-73.91719048210393,10463.0,86,770.6330258003793,3.798395721925134,1.6493506493506491,29501.0,33.0,32.0,44.0,11.0,0.0,14.857142857142858,0.0,0.0,1,1,0,0,0
Bronx,North Riverdale,40.90854282950666,-73.90453054908927,,,,,,,,40.90854282950666,-73.90453054908927,10471.0,62,524.2815711808522,3.814669571532317,1.5660377358490567,9662.0,28.0,17.0,27.0,3.0,0.0,21.13793103448276,0.0,0.0,1,1,0,1,0
Bronx,Pelham Bay,40.85064140940335,-73.8320737824047,1945.0,1750.0,1950.0,,,,,40.85064140940335,-73.8320737824047,10461.0,117,584.6455097067238,3.951014791881665,1.5742574257425743,33854.0,46.0,18.0,56.0,5.0,0.0059880239520958,9.868263473053892,0.0,0.0,1,1,0,0,0
Bronx,Schuylerville,40.82657951686922,-73.82620275994073,,,,,,,,40.82657951686922,-73.82620275994073,10465.0,25,486.88,3.4117647058823537,1.391304347826087,0.0,0.0,0.0,0.0,0.0,0.0,9.104166666666666,0.0,0.0,1,1,0,2,1
Bronx,Edgewater Park,40.82198611816349,-73.81388514428619,,,,,,,,40.82198611816349,-73.81388514428619,10465.0,87,623.8995393006202,3.6499019607843137,1.63013698630137,21097.0,30.0,12.0,55.0,3.0,0.0,12.847457627118644,0.0,0.0,1,1,0,0,0
Bronx,Castle Hill,40.81901437698832,-73.84802729582735,,1895.0,2300.0,,,,,40.81901437698832,-73.84802729582735,10473.0,53,781.9793772201728,3.3734360410831,1.5294117647058822,8703.0,33.0,18.0,50.0,8.0,0.0,6.465517241379311,0.0,0.0,1,1,0,2,0
Bronx,Olinville,40.87137078192371,-73.86332361652777,,,,,,,,40.87137078192371,-73.86332361652777,10467.0,24,561.5833333333334,3.3814616755793234,1.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2,1
Bronx,Pelham Gardens,40.86296562477998,-73.84161194831223,,,2929.0,,,,,40.86296562477998,-73.84161194831223,10469.0,25,669.48,3.196078431372549,1.4090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,5.711267605633803,0.0,0.0,1,1,0,2,1
Bronx,Concourse,40.83428380733851,-73.91558941773444,1450.0,2250.0,2000.0,,,,,40.83428380733851,-73.91558941773444,10452.0,25,693.24,2.794117647058824,1.3636363636363635,0.0,0.0,0.0,0.0,0.0,0.011308562197092,8.24232633279483,3.0,1.0,1,0,0,2,1
Bronx,Unionport,40.82977429787161,-73.85053524451935,,1650.0,1775.0,,,,,40.82977429787161,-73.85053524451935,10472.0,48,720.5627684511694,3.481666666666667,1.5909090909090908,17290.0,16.0,11.0,6.0,6.0,0.006514657980456,8.758957654723128,0.0,0.0,1,1,0,2,1
Bronx,Edenwald,40.88456130303732,-73.84808271877168,,,,,,,,40.88456130303732,-73.84808271877168,10469.0,89,730.3763155670995,3.5534041394335514,1.4477611940298507,18960.0,33.0,15.0,50.0,7.0,0.0,10.023166023166024,0.0,0.0,1,1,0,0,0
Brooklyn,Bay Ridge,40.625801065010656,-74.03062069353813,2038.0,1750.0,2109.0,,,,,40.625801065010656,-74.03062069353813,11209.0,25,562.64,3.7607843137254906,1.92,0.0,0.0,0.0,0.0,0.0,0.0,9.810055865921788,0.0,0.0,1,1,0,2,1
Brooklyn,Bensonhurst,40.61100890202044,-73.99517998380729,4200.0,1500.0,1795.0,,,,,40.61100890202044,-73.99517998380729,11214.0,25,654.72,3.186851211072665,1.3636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,13.696969696969695,0.0,0.0,1,1,0,2,1
Brooklyn,Sunset Park,40.64510294925429,-74.01031618527784,4000.0,1812.5,2000.0,1400.0,1912.0,2300.0,2500.0,40.64510294925429,-74.01031618527784,11220.0,47,584.0411209738775,3.8651747655583977,1.3695652173913044,12112.0,20.0,3.0,17.0,19.0,0.0047058823529411,12.428235294117648,0.0,0.0,1,1,0,2,0
Brooklyn,Greenpoint,40.7302009848647,-73.95424093127393,2350.0,2400.0,2550.0,2347.0,2812.0,3708.0,5278.0,40.7302009848647,-73.95424093127393,11222.0,59,359.6518026938368,4.343436357593885,1.8103448275862069,17627.0,19.0,19.0,15.0,9.0,0.0017182130584192,14.893470790378007,81.0,1.0,1,0,0,0,0
Brooklyn,Gravesend,40.59526001306593,-73.97347087708445,5800.0,1600.0,1838.0,,,,,40.59526001306593,-73.97347087708445,11223.0,88,597.8824310969901,3.9618562091503264,1.5774647887323945,30472.0,30.0,14.0,23.0,12.0,0.0,18.91304347826087,0.0,0.0,1,1,0,0,0
Brooklyn,Brighton Beach,40.57682506566604,-73.96509448785336,2050.0,1575.0,2050.0,,,,,40.57682506566604,-73.96509448785336,11235.0,25,338.96,3.2689075630252105,1.75,0.0,0.0,0.0,0.0,0.0,0.0,16.524344569288388,1.0,1.0,1,0,0,2,1
Brooklyn,Sheepshead Bay,40.58689012678384,-73.94318640482979,1570.0,1665.0,2200.0,,,,,40.58689012678384,-73.94318640482979,11235.0,25,602.44,3.293333333333334,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,4.708333333333333,0.0,0.0,1,1,0,2,1
Brooklyn,Manhattan Terrace,40.61443251335098,-73.95743840559939,,,,,,,,40.61443251335098,-73.95743840559939,11230.0,25,529.72,3.274509803921569,1.608695652173913,0.0,0.0,0.0,0.0,0.0,0.0136054421768707,12.54421768707483,1.0,1.0,1,0,0,2,1
Brooklyn,Flatbush,40.63632589026677,-73.95840106533903,1618.0,1800.0,2117.0,,,,,40.63632589026677,-73.95840106533903,11218.0,29,751.72,3.658350236646384,1.7857142857142858,1128.0,15.0,11.0,9.0,3.0,0.0,0.0,6.0,1.0,1,0,0,2,1
Brooklyn,Crown Heights,40.67082917695294,-73.94329119073582,1759.0,1850.0,2200.0,1806.0,2310.0,2582.0,3185.0,40.67082917695294,-73.94329119073582,11225.0,25,763.44,3.763921568627452,1.6,0.0,0.0,0.0,0.0,0.0,0.0047562425683709,12.370986920332935,3.0,1.0,1,0,0,2,1
Brooklyn,East Flatbush,40.64171776668961,-73.93610256185836,2700.0,1725.0,1950.0,,,,,40.64171776668961,-73.93610256185836,11203.0,18,562.8333333333334,3.013071895424837,2.090909090909091,0.0,0.0,0.0,0.0,0.0,0.02,10.07,0.0,0.0,1,1,0,3,1
Brooklyn,Kensington,40.642381958003526,-73.98042110559474,2200.0,1850.0,2123.0,1724.0,1866.0,2925.0,3215.0,40.642381958003526,-73.98042110559474,11218.0,25,551.72,3.364145658263306,1.24,0.0,0.0,0.0,0.0,0.0,0.0,14.2565445026178,3.0,1.0,1,0,0,2,1
Brooklyn,Windsor Terrace,40.65694583575104,-73.98007340430172,1600.0,1600.0,2952.0,1939.0,2563.0,2877.0,3679.0,40.65694583575104,-73.98007340430172,11218.0,25,654.24,4.090196078431373,1.44,0.0,0.0,0.0,0.0,0.0,0.0,15.508403361344538,15.0,1.0,1,0,0,2,1
Brooklyn,Prospect Heights,40.67682226225472,-73.9648592426269,1916.0,2375.0,2700.0,2393.0,2823.0,3621.0,4320.0,40.67682226225472,-73.9648592426269,11238.0,25,361.2,4.391372549019608,1.9583333333333333,0.0,0.0,0.0,0.0,0.0,0.0038461538461538,11.47197802197802,13.0,1.0,1,0,0,2,1
Brooklyn,Brownsville,40.66394994339755,-73.91023536176607,2000.0,1780.0,1888.0,,,,,40.66394994339755,-73.91023536176607,11212.0,70,576.3485016199085,3.628685548293391,1.2244897959183674,7201.0,27.0,25.0,28.0,18.0,0.0199430199430199,12.638176638176638,1.0,1.0,1,0,0,3,0
Brooklyn,Williamsburg,40.70714439344251,-73.95811529220927,2491.0,2500.0,2584.0,2712.0,3166.0,4043.0,5081.0,40.70714439344251,-73.95811529220927,11211.0,25,633.72,4.44156862745098,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0,0,2,1
Brooklyn,Bushwick,40.69811611017901,-73.92525797487045,1731.0,2150.0,2100.0,2050.0,2373.0,2749.0,2851.0,40.69811611017901,-73.92525797487045,11221.0,43,474.5795396163772,4.190241678066576,1.6,4545.0,17.0,14.0,22.0,17.0,0.0025510204081632,15.404761904761903,23.0,1.0,1,0,0,2,0
Brooklyn,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,1650.0,1975.0,2200.0,2044.0,2297.0,2611.0,3214.0,40.687231607720456,-73.94178488690297,11216.0,69,733.0791815750126,4.174367718101734,1.6031746031746033,12270.0,13.0,16.0,8.0,17.0,0.0,13.175803402646505,7.0,1.0,1,0,0,0,0
Brooklyn,Brooklyn Heights,40.69586372272408,-73.99378225496424,2750.0,2000.0,3450.0,2509.0,3270.0,5983.0,8654.0,40.69586372272408,-73.99378225496424,11201.0,25,534.84,4.39764705882353,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,1.0,1,0,0,2,1
Brooklyn,Cobble Hill,40.68791972248557,-73.99856139218463,1200.0,1650.0,2700.0,2100.0,2734.0,4222.0,6122.0,40.68791972248557,-73.99856139218463,11201.0,25,423.2,4.366274509803922,2.0,0.0,0.0,0.0,0.0,0.0,0.0031847133757961,16.09235668789809,66.0,1.0,1,0,0,2,1
Brooklyn,Carroll Gardens,40.680540231076485,-73.99465372828006,2175.0,2400.0,3000.0,2271.0,2634.0,3914.0,5027.0,40.680540231076485,-73.99465372828006,11201.0,25,438.96,4.413333333333334,1.9583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,12.733183856502242,40.0,1.0,1,0,0,2,1
Brooklyn,Red Hook,40.676253230250886,-74.0127589747356,1600.0,1750.0,2400.0,,2300.0,4287.0,,40.676253230250886,-74.0127589747356,11231.0,78,488.62774635310257,4.161664152840624,1.7681159420289856,26719.0,24.0,31.0,37.0,8.0,0.0,12.691729323308271,7.0,1.0,1,0,0,0,0
Brooklyn,Gowanus,40.673931143187154,-73.99444087145339,1750.0,1945.0,2350.0,2293.0,2796.0,3588.0,3687.0,40.673931143187154,-73.99444087145339,11215.0,25,614.64,4.444705882352942,1.75,0.0,0.0,0.0,0.0,0.0,0.0,16.877734877734877,0.0,0.0,1,1,0,2,1
Brooklyn,Fort Greene,40.68852726018977,-73.97290574369092,2255.0,2825.0,3528.5,2957.0,2508.0,4213.0,6760.0,40.68852726018977,-73.97290574369092,11205.0,48,363.4684690099568,4.238684640522876,1.9565217391304348,12870.0,16.0,14.0,18.0,8.0,0.0,0.0,39.0,1.0,1,0,0,2,0
Brooklyn,Park Slope,40.67232052268197,-73.97705030183924,2100.0,2475.0,2700.0,2795.0,2739.0,3422.0,4883.0,40.67232052268197,-73.97705030183924,11215.0,87,601.1109364469162,4.238269100743746,1.809523809523809,34123.0,40.0,24.0,27.0,16.0,0.0022988505747126,11.277011494252871,67.0,1.0,1,0,0,0,0
Brooklyn,Cypress Hills,40.68239101144211,-73.87661596457296,1800.0,1827.0,1993.0,,,,,40.68239101144211,-73.87661596457296,11208.0,84,519.526737533241,3.647694007180337,1.2638888888888888,18416.0,46.0,33.0,49.0,25.0,0.0057971014492753,13.217391304347826,1.0,1.0,1,0,0,0,0
Brooklyn,East New York,40.669925700847045,-73.88069863917366,1575.0,1750.0,1995.0,,,,,40.669925700847045,-73.88069863917366,11207.0,25,702.68,2.6209150326797395,1.3888888888888888,0.0,0.0,0.0,0.0,0.0,0.0037878787878787,10.884469696969695,1.0,1.0,1,0,0,2,1
Brooklyn,Starrett City,40.64758905230874,-73.87936970045875,,,,,,,,40.64758905230874,-73.87936970045875,11207.0,25,721.8,3.151260504201681,1.6842105263157894,0.0,0.0,0.0,0.0,0.0,0.0,28.8,0.0,0.0,1,1,0,1,1
Brooklyn,Canarsie,40.63556432797428,-73.90209269778966,2000.0,1500.0,1950.0,,,,,40.63556432797428,-73.90209269778966,11236.0,25,659.12,2.625668449197861,1.7916666666666667,0.0,0.0,0.0,0.0,0.0,0.009009009009009,11.486486486486486,0.0,0.0,1,1,0,2,1
Brooklyn,Flatlands,40.630446043757466,-73.92911302644674,1998.0,1653.0,2000.0,,,,,40.630446043757466,-73.92911302644674,11236.0,25,626.28,2.796791443850268,1.5416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,10.84,0.0,0.0,1,1,0,2,1
Brooklyn,Mill Island,40.606336421685626,-73.90818571777423,,,,,,,,40.606336421685626,-73.90818571777423,11234.0,16,864.9375,3.243137254901961,1.3636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,14.875,0.0,0.0,1,1,0,2,1
Brooklyn,Manhattan Beach,40.57791350308657,-73.94353722891886,,2300.0,2250.0,,,,,40.57791350308657,-73.94353722891886,11235.0,25,723.56,3.0840336134453787,1.7826086956521738,0.0,0.0,0.0,0.0,0.0,0.0,13.146341463414634,0.0,0.0,1,1,0,2,1
Brooklyn,Coney Island,40.57429256471601,-73.98868295821637,,1550.0,2400.0,,,,,40.57429256471601,-73.98868295821637,11224.0,25,632.96,2.9401444788441697,1.4761904761904765,0.0,0.0,0.0,0.0,0.0,0.0,17.602941176470587,0.0,0.0,1,1,0,1,1
Brooklyn,Bath Beach,40.59951870282238,-73.99875221443519,1599.0,2600.0,1825.0,,,,,40.59951870282238,-73.99875221443519,11214.0,78,608.5508293328061,3.85977508650519,1.5757575757575757,17027.0,25.0,12.0,19.0,25.0,0.0162337662337662,8.603896103896103,0.0,0.0,1,1,0,3,0
Brooklyn,Borough Park,40.633130512758015,-73.99049823044811,2023.0,2098.0,1811.5,,,,,40.633130512758015,-73.99049823044811,11219.0,66,658.0252400523362,3.993540945790081,1.5454545454545454,9447.0,29.0,9.0,25.0,25.0,0.018018018018018,9.44144144144144,0.0,0.0,1,1,0,3,0
Brooklyn,Dyker Heights,40.61921945772264,-74.01931375636022,1475.0,1900.0,1900.0,,,,,40.61921945772264,-74.01931375636022,11209.0,25,740.44,3.2139037433155084,1.68,0.0,0.0,0.0,0.0,0.0,0.0118343195266272,11.7396449704142,1.0,1.0,1,0,0,2,1
