,Distance (m),Name,Price,Rating,Borough,Neighborhood,Zipcode,Latitude,Longitude,Category
52,559.0,Taco Bell,1.0,8.3,Bronx,Coop City,10475.0,40.887555677350775,-73.82780644716412,restaurant
53,313.0,Mario's Pizzeria,1.0,7.5,Bronx,North Baychester,10466.0,40.887555677350775,-73.82780644716412,restaurant
54,858.0,Panera Bread,1.0,8.2,Pelham,Parkside,10803.0,40.887555677350775,-73.82780644716412,restaurant
55,363.0,Dyre Fish Market,3.0,7.5,Bronx,North Baychester,10466.0,40.887555677350775,-73.82780644716412,restaurant
56,672.0,Smashburger,2.0,7.9,Pelham,,10466.0,40.887555677350775,-73.82780644716412,restaurant
57,769.0,Dave & Buster's,1.0,7.7,Pelham,Parkside,10803.0,40.887555677350775,-73.82780644716412,restaurant
58,743.0,IHOP,2.0,7.6,Bronx,Coop City,10475.0,40.887555677350775,-73.82780644716412,restaurant
59,904.0,Yumi Asian Bistro,2.0,7.7,Pelham,Parkside,10803.0,40.887555677350775,-73.82780644716412,restaurant
60,1063.0,Chipotle Mexican Grill,1.0,7.7,Pelham,Parkside,10803.0,40.887555677350775,-73.82780644716412,restaurant
61,294.0,Golden Krust Caribbean Bakery And Grill,2.0,6.7,Bronx,North Baychester,10466.0,40.887555677350775,-73.82780644716412,restaurant
62,664.0,Gardens Bar & Grill,2.0,7.0,Mount Vernon,,10550.0,40.887555677350775,-73.82780644716412,restaurant
63,963.0,Five Guys Burgers & Fries,1.0,7.2,Pelham Manor,Parkside,10803.0,40.887555677350775,-73.82780644716412,restaurant
64,698.0,Wendy’s,1.0,7.0,Bronx,Coop City,10475.0,40.887555677350775,-73.82780644716412,restaurant
65,838.0,Wingstop,1.0,6.9,Pelham,Coop City,10803.0,40.887555677350775,-73.82780644716412,restaurant
66,555.0,Best Chinese Restaurant,1.0,6.7,Bronx,North Baychester,10475.0,40.887555677350775,-73.82780644716412,restaurant
67,301.0,Dyre Deli Grocery,1.0,6.4,Bronx,North Baychester,10466.0,40.887555677350775,-73.82780644716412,restaurant
68,228.0,McDonald's,1.0,6.0,Bronx,Coop City,10475.0,40.887555677350775,-73.82780644716412,restaurant
69,824.0,Columbus Diner,1.0,6.5,Mount Vernon,Parkside,10550.0,40.887555677350775,-73.82780644716412,restaurant
70,553.0,Mingles,3.0,6.1,Bronx,North Baychester,10475.0,40.887555677350775,-73.82780644716412,restaurant
71,332.0,Royal Caribbean Jamaican Bakery,2.0,5.8,Bronx,North Baychester,10466.0,40.887555677350775,-73.82780644716412,restaurant
72,372.0,Faity's Kitchen,2.0,5.8,Bronx,North Baychester,10466.0,40.887555677350775,-73.82780644716412,restaurant
73,306.0,Dyre Ave Diner,1.0,5.6,Bronx,North Baychester,10466.0,40.887555677350775,-73.82780644716412,restaurant
74,312.0,Rayan Candy & Newspaper,1.0,,Bronx,North Baychester,10466.0,40.887555677350775,-73.82780644716412,restaurant
75,905.0,An Beal Bocht Cafe,1.0,8.8,Bronx,Kingsbridge,10463.0,40.89543742690383,-73.90564259591682,restaurant
76,938.0,Tin Marin,2.0,8.9,Bronx,Kingsbridge,10463.0,40.89543742690383,-73.90564259591682,restaurant
77,923.0,Fenwick's Bar & Grill,2.0,8.7,Bronx,Kingsbridge,10463.0,40.89543742690383,-73.90564259591682,restaurant
78,909.0,Yo-Burger,1.0,8.6,Bronx,Kingsbridge,10463.0,40.89543742690383,-73.90564259591682,restaurant
79,757.0,Tortoise & Hare,1.0,7.7,Bronx,Fieldston,10471.0,40.89543742690383,-73.90564259591682,restaurant
80,892.0,Greek Express,2.0,7.8,Bronx,Kingsbridge,10463.0,40.89543742690383,-73.90564259591682,restaurant
81,876.0,Salvatores of Soho,2.0,7.6,Bronx,Kingsbridge,10463.0,40.89543742690383,-73.90564259591682,restaurant
82,798.0,Jake's Steakhouse,3.0,7.2,Bronx,Fieldston,10471.0,40.89543742690383,-73.90564259591682,restaurant
83,987.0,Rolen Bagels,1.0,7.3,Bronx,Kingsbridge,10463.0,40.89543742690383,-73.90564259591682,restaurant
84,874.0,Burrito Shop,1.0,7.2,Bronx,Kingsbridge,10471.0,40.89543742690383,-73.90564259591682,restaurant
85,859.0,Broadway Joe's Pizza,2.0,7.1,Bronx,Kingsbridge,10471.0,40.89543742690383,-73.90564259591682,restaurant
86,985.0,Tiny's Diner,2.0,6.9,Bronx,Kingsbridge,10463.0,40.89543742690383,-73.90564259591682,restaurant
87,920.0,Jasper's Deli,1.0,6.6,Bronx,Kingsbridge,10463.0,40.89543742690383,-73.90564259591682,restaurant
88,908.0,New Riverdale Deli,1.0,6.5,Bronx,Kingsbridge,10463.0,40.89543742690383,-73.90564259591682,restaurant
89,802.0,Burger King,1.0,6.2,Bronx,Fieldston,10471.0,40.89543742690383,-73.90564259591682,restaurant
90,798.0,Asian Tokyo,2.0,,Bronx,Kingsbridge,10471.0,40.89543742690383,-73.90564259591682,restaurant
91,849.0,Gourmet Market and Bagel,1.0,,New York,Kingsbridge,10471.0,40.89543742690383,-73.90564259591682,restaurant
92,856.0,Stiff Weasel,1.0,,New York,Kingsbridge,10471.0,40.89543742690383,-73.90564259591682,restaurant
93,861.0,Blue Charcoal Grill,2.0,,Bronx,Kingsbridge,10471.0,40.89543742690383,-73.90564259591682,restaurant
94,868.0,Estrellita Poblana Taqueria Express,1.0,,New York,Kingsbridge,10471.0,40.89543742690383,-73.90564259591682,restaurant
95,872.0,The Last Stop,2.0,,New York,Kingsbridge,10471.0,40.89543742690383,-73.90564259591682,restaurant
96,877.0,Best Deli And Grill,1.0,,Bronx,Kingsbridge,10471.0,40.89543742690383,-73.90564259591682,restaurant
97,932.0,Taste of the Palace,2.0,,Bronx,Kingsbridge,10463.0,40.89543742690383,-73.90564259591682,restaurant
98,915.0,Corner Cafe & Bakery,1.0,5.3,Bronx,Kingsbridge,10463.0,40.89543742690383,-73.90564259591682,restaurant
99,717.0,Locke’s Dinning Hall,,,Bronx,Kingsbridge,10471.0,40.89543742690383,-73.90564259591682,restaurant
100,619.0,Tin Marin,2.0,8.9,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
101,546.0,Blue Bay Restaurant,2.0,8.5,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
102,597.0,Yo-Burger,1.0,8.6,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
103,746.0,An Beal Bocht Cafe,1.0,8.8,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
104,632.0,Liebman's Kosher Deli,2.0,8.5,Bronx,Marble Hill,10463.0,40.890834493891305,-73.9125854610857,restaurant
105,687.0,Cocina Chente,1.0,8.5,New York,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
106,593.0,Palace of Japan,2.0,8.3,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
107,790.0,Fenwick's Bar & Grill,2.0,8.7,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
108,676.0,The Hill Bistro,2.0,7.9,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
109,580.0,Greek Express,2.0,7.8,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
110,652.0,Moss Cafe,1.0,7.7,Bronx,Marble Hill,10463.0,40.890834493891305,-73.9125854610857,restaurant
111,609.0,Pizza Chef,1.0,7.6,Bronx,Marble Hill,10463.0,40.890834493891305,-73.9125854610857,restaurant
112,577.0,Salvatores of Soho,2.0,7.6,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
113,652.0,Rolen Bagels,1.0,7.3,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
114,809.0,Goodfellas Pizza & Pasta,1.0,7.2,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
115,599.0,Blackstone Bar & Grill,2.0,6.9,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
116,535.0,Bella Notte Pizzeria,2.0,6.8,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
117,572.0,Metate,1.0,6.8,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
118,647.0,Tiny's Diner,2.0,6.9,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
119,565.0,Bagel Corner,1.0,6.5,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
120,784.0,Jasper's Deli,1.0,6.6,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
121,741.0,New Riverdale Deli,1.0,6.5,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
122,539.0,Cumin Indian Restaurant,2.0,5.9,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
123,536.0,Neem,2.0,,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
124,556.0,Moon Star Grill,2.0,,Bronx,Kingsbridge,10463.0,40.890834493891305,-73.9125854610857,restaurant
125,328.0,Kingsbridge Social Club,1.0,9.2,Bronx,Kings Bridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
126,418.0,Bronx Ale House,2.0,8.9,Bronx,Kings Bridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
127,533.0,Tibbett Diner,1.0,9.0,Bronx,Kings Bridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
128,357.0,Sam's Pizza,1.0,8.3,Bronx,Kings Bridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
129,350.0,Smashburger,1.0,8.2,Bronx,Kings Bridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
130,372.0,The Bronx Public,1.0,8.2,New York,Kings Bridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
131,651.0,An Beal Bocht Cafe,1.0,8.8,Bronx,Kingsbridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
132,295.0,El Malecon Restaurant,2.0,8.0,Bronx,Kings Bridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
133,700.0,Tin Marin,2.0,8.9,Bronx,Kingsbridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
134,620.0,Cocina Chente,1.0,8.5,New York,Kingsbridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
135,727.0,Yo-Burger,1.0,8.6,Bronx,Kingsbridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
