neighborhood,studio,,neighborhood,1_bedroom,,neighborhood,2_bedroom,,,
Mott Haven,"$2,300",,Riverdale,"$1,850",,Riverdale,"$2,600",,,
Dyker Heights,"$2,300",,Queens Village,"$1,650",,Queens Village,"$2,000",,,
Two Bridges,"$1,650",,St. Albans,"$1,450",,St. Albans,"$2,300",,,
Koreatown,"$2,125",,Mott Haven,"$2,100",,Rochdale,"$2,148",,,
Woodhaven,"$1,627",,Dyker Heights,"$1,550",,Mott Haven,"$2,295",,,
Wakefield,"$1,475",,Cypress Hills,"$1,900",,Dyker Heights,"$1,900",,,
Rockaway Beach,"$1,800",,Two Bridges,"$1,827",,Cypress Hills,"$1,993",,,
Brownsville,"$1,895",,Koreatown,"$2,500",,Two Bridges,"$3,203",,,
Auburndale,"$1,795",,Woodhaven,"$1,555",,Koreatown,"$2,888",,,
Kensington,"$1,500",,Wakefield,"$1,600",,Woodhaven,"$1,925",,,
Brighton Beach,"$1,750",,College Point,"$1,680",,Wakefield,"$1,800",,,
Bath Beach,"$3,000",,Rockaway Beach,"$1,700",,College Point,"$1,900",,,
Brooklyn Heights,"$1,850",,Brownsville,"$1,650",,Rockaway Beach,"$2,000",,,
Gowanus,"$2,000",,Auburndale,"$1,780",,Brownsville,"$1,888",,,
Stapleton,"$1,838",,Kensington,"$1,675",,Auburndale,"$2,175",,,
Flatlands,"$2,200",,Brighton Beach,"$1,850",,Kensington,"$2,123",,,
Ozone Park,"$2,050",,Bath Beach,"$1,575",,Brighton Beach,"$2,050",,,
Borough Park,"$1,599",,Brooklyn Heights,"$2,600",,Bath Beach,"$1,825",,,
Red Hook,"$2,750",,Gowanus,"$2,000",,Brooklyn Heights,"$3,450",,,
Concourse Village,"$1,750",,Stapleton,"$1,945",,Gowanus,"$2,350",,,
Throgs Neck,"$3,279",,Flatlands,"$1,600",,Stapleton,"$3,200",,,
St. George,"$1,998",,South Ozone Park,"$1,653",,Flatlands,"$2,000",,,
Laurelton,"$1,085",,Ozone Park,"$1,600",,South Ozone Park,"$1,950",,,
NoHo,"$2,275",,Whitestone,"$1,999",,South Jamaica,"$2,100",,,
Cobble Hill,"$1,800",,Tompkinsville,"$1,888",,Ozone Park,"$2,100",,,
Pelham Bay,"$1,150",,Borough Park,"$1,700",,Whitestone,"$2,150",,,
Windsor Terrace,"$1,900",,Rosedale,"$2,325",,Tompkinsville,"$2,800",,,
DUMBO,"$2,546",,Red Hook,"$2,000",,Borough Park,"$1,873",,,
Concourse,"$1,457",,Concourse Village,"$1,700",,Rosedale,"$1,800",,,
Highbridge,"$1,600",,Throgs Neck,"$1,750",,Red Hook,"$2,400",,,
Little Italy,"$3,098",,Williamsbridge,"$1,700",,Concourse Village,"$2,195",,,
Civic Center,"$2,288",,St. George,"$1,700",,Throgs Neck,"$1,950",,,
Stuyvesant Town - Peter Cooper Village,"$3,650",,Laurelton,"$1,600",,Williamsbridge,"$2,100",,,
Central Park,"$2,400",,Glen Oaks,"$1,738",,St. George,"$2,298",,,
Howard Beach,"$1,350",,NoHo,"$3,200",,Laurelton,"$2,000",,,
Jamaica Estates,"$1,575",,Cobble Hill,"$2,400",,Glen Oaks,"$2,000",,,
Parkchester,"$2,500",,Fresh Meadows,"$1,750",,NoHo,"$7,248",,,
Norwood,"$1,200",,Pelham Bay,"$1,650",,Cobble Hill,"$2,700",,,
Allerton,"$1,450",,Mapleton,"$1,590",,Fresh Meadows,"$2,200",,,
Douglaston,"$1,945",,Bellerose,"$1,750",,Pelham Bay,"$1,950",,,
Kingsbridge,"$1,500",,Windsor Terrace,"$2,196",,Mapleton,"$1,750",,,
Clason Point,"$1,700",,DUMBO,"$3,386",,Bellerose,"$2,200",,,
Morris Park,"$1,600",,Hollis,"$1,600",,Windsor Terrace,"$2,952",,,
Mount Hope,"$1,313",,Concourse,"$1,650",,DUMBO,"$5,895",,,
Fordham Heights,"$1,600",,Highbridge,"$1,725",,Hollis,"$2,000",,,
Forest Park,"$1,450",,Little Italy,"$2,250",,Concourse,"$2,000",,,
Jamaica Hills,"$1,375",,Hillcrest,"$1,650",,Highbridge,"$1,900",,,
Unionport,"$1,450",,Civic Center,"$3,000",,Little Italy,"$3,850",,,
Bedford Park,"$1,413",,Stuyvesant Town - Peter Cooper Village,"$3,606",,Hillcrest,"$2,100",,,
Morris Heights,"$1,500",,Central Park,"$3,623",,Brookville,"$2,250",,,
Fordham Manor,"$1,575",,Howard Beach,"$1,675",,South Beach,"$1,800",,,
Roosevelt Island,"$2,839",,Jamaica Estates,"$1,738",,Civic Center,"$3,690",,,
Coney Island,"$2,250",,Parkchester,"$1,600",,Stuyvesant Town - Peter Cooper Village,"$4,100",,,
Mount Eden,"$1,250",,Norwood,"$1,635",,Central Park,"$3,325",,,
Westchester Village,"$1,100",,Allerton,"$1,625",,Howard Beach,"$2,200",,,
Manhattan Beach,"$1,595",,Douglaston,"$2,058",,Jamaica Estates,"$2,350",,,
Pelham Parkway,"$1,700",,Kingsbridge,"$1,700",,Parkchester,"$1,889",,,
Vinegar Hill,"$2,700",,City Island,"$1,600",,Norwood,"$1,895",,,
