business_status,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,scope,types,vicinity,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,plus_code.compound_code,plus_code.global_code,photos,rating,user_ratings_total,opening_hours.open_now,price_level,permanently_closed,req_cat
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,34 Street-Hudson Yards Subway Station,ChIJZUlTfrRZwokR8fnqur1CgA4,ChIJZUlTfrRZwokR8fnqur1CgA4,GOOGLE,"['subway_station', 'transit_station', 'point_of_interest', 'establishment']","380-394 11th Avenue, New York",40.7549713,-74.0010084,40.75641663029149,-73.9995211197085,40.7537186697085,-74.00221908029151,"QX3X+XH New York, NY, USA",87G7QX3X+XH,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104956242485107369679"">Peter Gaffney</a>'], 'photo_reference': 'AW30NDy5xH0kG5gwrv4o5ZFgHk8sE0--TfZDuKXGcpjUFuO3pvTZoRzSeLJk1kZ2Ho5MJ5kYJuVXSnh-dqqyJL7OTAvoGb8FmitHB8AuHMv1D8fROnxVDNVZZFPIvkUgg-EYvwSfn3AOubbXby3u7DBxExYysBy6yHEPT1eZToXCqKBPajHO', 'width': 6000}]",4.5,300.0,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,34th St b/t 11th Ave and 12th Ave,ChIJuXXfgbNZwokRqJNDvnIpoJA,ChIJuXXfgbNZwokRqJNDvnIpoJA,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']","550 West 34th Street, New York",40.7560428,-74.0028511,40.7574377302915,-74.0014683197085,40.7547397697085,-74.00416628029151,"QX4W+CV New York, NY, USA",87G7QX4W+CV,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100826946821000015741"">Sewon Oh</a>'], 'photo_reference': 'AW30NDxDS8OWC17TMHHmzqmom7y0xSMpbjRYoKg72XJta9ufTfPNiRiGEEMNnieYMekc_RuS8ltIs06M9RD0O_dGF79cCl41qlb2i6WA1k9vU8xfeqKTnVmGFLuU3AFhgzyjO4-woqaoeddKqSR-kReP_665EnCQlqfEfIK_5SQUt2Ryqs45', 'width': 3024}]",2.7,453.0,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,W 34 St/12 Av,ChIJneBUGbVZwokR-uZmrvucxx4,ChIJneBUGbVZwokR-uZmrvucxx4,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.7564009,-74.00368019999999,40.7578597802915,-74.0024771697085,40.7551618197085,-74.0051751302915,"QX4W+HG New York, NY, USA",87G7QX4W+HG,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104463259105178962209"">jayden effah (lcewatergod_702)</a>'], 'photo_reference': 'AW30NDwPk1CjimTTJZGChOmdWOj4wAh2ktUaJpyaB5e_oz0S-L0b2Ei_O0SzWQ7BWm_WHpbUOU2zAUYnPTkfzkdp3mb8FbHYtJa6-ScqS8035pJAb-SlbtwhfW9vA-YlnpDTYkLrid6FG7cYKrHK381kK8eUMPsaQQnRF1MX3rj87GTweiwP', 'width': 4032}]",3.1,13.0,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Megabus,ChIJtWqm4rRZwokRXaoTbDLQxP4,ChIJtWqm4rRZwokRXaoTbDLQxP4,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.7563007,-74.0036471,40.75764968029149,-74.00229811970848,40.75495171970849,-74.0049960802915,"QX4W+GG New York, NY, USA",87G7QX4W+GG,"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117543041295199128627"">HouAndLee LiHueiAndWenYu</a>'], 'photo_reference': 'AW30NDwSr5ZVGlioDH4ilUokqhJYQxgoIYL_SxS_Nt6uB7yliXKmzaVUxvCVLNoQeXnlGmw-_V46qZjkzk_iDJuHTJjDT21mwLfC8fPkClRMe807lm4vRDV3_el5Vxq67NMRpWBxAZBeCndGiidCFE_z23LydFZPXvC1dZWLDOKG0PhneetL', 'width': 800}]",1.8,43.0,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/train-71.png,#10BDFF,https://maps.gstatic.com/mapfiles/place_api/icons/v2/train_rail_1_pinlet,Pennsylvania Station,ChIJy62yFa5ZwokRun79NAZCVXk,ChIJy62yFa5ZwokRun79NAZCVXk,GOOGLE,"['train_station', 'transit_station', 'point_of_interest', 'establishment']",New York,40.750568,-73.993519,40.75221785000001,-73.98982909999998,40.74889845000001,-73.99617149999999,"Q224+6H New York, NY, USA",87G8Q224+6H,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116402184476685054431"">Chris Smith</a>'], 'photo_reference': 'AW30NDwXCo9tlWvoscQFny-TgI9QmCPA1wg_8-Wje9vFM6YdG3Q14Eo2vbFvt8HHzkSsEoCrelKAgb16lGNT21M1jHv9fxBAo779xh7HhItArE5TAzaPIk-xGKCaz_Q-GP858o33-G5LIyXN57CychKSsDmpWP6QzJulASpd0tlkyEacN_BV', 'width': 4032}]",4.0,4948.0,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,34 St - Penn Station,ChIJT35y6K1ZwokRF8Y4AiKVQzM,ChIJT35y6K1ZwokRF8Y4AiKVQzM,GOOGLE,"['subway_station', 'transit_station', 'point_of_interest', 'establishment']",New York,40.752289,-73.993393,40.7538566,-73.99185745,40.75044179999999,-73.99518004999999,"Q224+WJ New York, NY, USA",87G8Q224+WJ,"[{'height': 3672, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109319562594357337385"">まろちゃん</a>'], 'photo_reference': 'AW30NDyZNF3YBNzk6FhtjhlSdZzKAoH_Ox5iaKxqmTHN8pR_d0m5dPEL_MPvxKgIKI4A026oGhM7eXMp-5yuWZxdjwIQI-ZVCWZQEH8Ng08pz4cmaTOc0Y8XFWdz0yOQD-TXC-ixWXaNShf-myazmgi5_N57iH-d8j1LxLhvrCnUEqrtcopQ', 'width': 4896}]",3.9,346.0,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Times Sq - 42 St,ChIJVdjc1lRYwokR9heyA9HsTSo,ChIJVdjc1lRYwokR9heyA9HsTSo,GOOGLE,"['subway_station', 'transit_station', 'point_of_interest', 'establishment']","1470 Broadway, New York",40.7558202,-73.9864109,40.75711183029149,-73.9850193197085,40.75441386970849,-73.9877172802915,"Q247+8C New York, NY, USA",87G8Q247+8C,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111862624904670167947"">Piero Pavone</a>'], 'photo_reference': 'AW30NDxspAbn5-cDzEXXjtQz5hrmhmCKMTj4lR7e9Dj6__ke4xRYl0CGaoxMUjLSDZFriJUimCYLFxg5eB5f_bMYw60t5CzinxFwgf6Ay0a3TOQ3098l1Otl96LW2DII-Ec-AlIIaRkQ0B54X1NoFZdodqj6X57-NN-IM12H1RSiR8Bwp5kE', 'width': 3000}]",4.4,153.0,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,W 34 St/7 Av,ChIJ3Rcug65ZwokRgtf0UIWwKfQ,ChIJ3Rcug65ZwokRgtf0UIWwKfQ,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.75138860000001,-73.9913156,40.75271083029151,-73.99000046970849,40.75001286970851,-73.9926984302915,"Q225+HF New York, NY, USA",87G8Q225+HF,,5.0,5.0,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/train-71.png,#10BDFF,https://maps.gstatic.com/mapfiles/place_api/icons/v2/train_rail_1_pinlet,Pennsylvania Station,ChIJVTYNoK5ZwokR9alcmEueE4Y,ChIJVTYNoK5ZwokR9alcmEueE4Y,GOOGLE,"['train_station', 'transit_station', 'point_of_interest', 'establishment']",New York,40.7505757,-73.9934767,40.7516550302915,-73.9925179197085,40.7489570697085,-73.99521588029151,"Q224+6J New York, NY, USA",87G8Q224+6J,"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110695322501773574333"">Yoshio Itagaki</a>'], 'photo_reference': 'AW30NDxLy08nWlY8GsVRE7GIPQf1h8D7-co1uHvfO89mwsOwv6UKFPvIFSfoTgynTxNpjT0qjNCxsa0Y7h7-IgYqGgX8TLvivBV0CitN3CrFqSjXal0XJZ0c1FydDGY_2BtRJe8ipg_S9trsltsh7L9jbf7c_MMRgM50wyafBctmT4ZQJA4d', 'width': 2773}]",3.9,20.0,True,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hudson Transit Corporation,ChIJ7e9gHU5YwokRYKIKHZaTjr0,ChIJ7e9gHU5YwokRYKIKHZaTjr0,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']","524 West 46th Street, New York",40.76252360000001,-73.9946839,40.76391323029151,-73.9933051197085,40.76121526970851,-73.9960030802915,"Q274+24 New York, NY, USA",87G8Q274+24,,,,,,,transit_station
