,Name,Reviews,Rating,Price,Distance (m),Latitude,Longitude,Address,Borough,Zipcode,Category
47,McDonald's,33,2.0,$,623.7575373833703,40.8687059243768,-73.830585321457,2010 Bartow Ave,Bronx,10475,restaurant
48,Chipotle Mexican Grill,23,2.0,$,679.0493597755336,40.868854,-73.82627,2122 Bartow Ave,Bronx,10475,restaurant
49,Taco Bell,36,2.0,$,1030.1212633307582,40.8827165260369,-73.8248359268336,3351 Conners Street,Bronx,10475,restaurant
50,Fish N' Ting,327,4.0,$$,229.99999145018447,40.885723,-73.829075,4063 Boston Rd,Bronx,10466,restaurant
51,Gourmet Express,68,4.5,$$,940.4812245369012,40.8904762268066,-73.8173065185547,924 West St,Pelham,10803,restaurant
52,Cozy Cottage Restaurant,90,3.5,$,131.5680805718199,40.886382,-73.827697,4105 Boston Rd,Bronx,10466,restaurant
53,Dyre Fish Market,52,4.0,$$,313.2019553774072,40.88888,-73.83094,3828 Dyre Ave,Bronx,10466,restaurant
54,Mingles Express Grill,40,4.0,,555.2508675003902,40.883891190256,-73.8322932924236,4018 Boston Rd,Bronx,10475,restaurant
55,Jimmy's Best Chinese Restaurant,35,4.5,$,612.6284378173224,40.88447,-73.8315,4004A Boston Rd,Bronx,10475,restaurant
56,Yumi,208,3.5,$$,923.0468281314392,40.893762,-73.820514,802 Pelham Pkwy,Pelham Manor,10803,restaurant
57,Smashburger,162,3.5,$$,672.9836616451463,40.890174862656586,-73.82058906530364,847 Pelham Pkwy,Pelham Manor,10803,restaurant
58,Mario's Pizzeria,25,4.0,$,296.78517874577744,40.88864,-73.83104,3824 Dyre Ave,Bronx,10466,restaurant
59,IHOP,82,3.5,$$,753.5728353634149,40.88995,-73.81942,4340 Boston Post Rd,Bronx,10475,restaurant
60,City Tamale,73,4.5,$,9837.028620245368,40.8102546,-73.8846809,1316 Oak Point Ave,Bronx,10474,restaurant
61,Sloppie Joe's Food Truck,31,5.0,$,4484.679962534421,40.91594,-73.85459,,Yonkers,10704,restaurant
62,Five Guys,76,3.5,$$,963.8266703911154,40.8939600669499,-73.82007992944773,808 Pelham Pkwy,Pelham Manor,10803,restaurant
63,Panera Bread,70,3.5,$$,860.3398661125711,40.891502,-73.819003,875 Pelham Parkway,Pelham Manor,10803,restaurant
64,Dyre Ave Diner,29,3.5,$,322.05002755977904,40.887966,-73.831612,3803 Dyre Ave,Bronx,10466,restaurant
65,Crab Du Jour Cajun Seafood & Bar,33,4.0,,911.7609059763428,40.893199,-73.819898,810 Pelham Parkway,Pelham,10803,restaurant
66,Dave & Buster's,267,2.0,$$,768.8141011372793,40.89202080339504,-73.82082338602827,881 Pelham Pkwy,Pelham Manor,10803,restaurant
67,Bobos Crab Shack - Coop City,27,3.5,$$,774.3088527771711,40.88087860315926,-73.82519183113857,691 Co Op City Blvd,The Bronx,10475,restaurant
68,Columbus Diner,69,3.0,$$,827.9367004528481,40.894518,-73.824315,754 S Columbus Ave,Mount Vernon,10550,restaurant
69,Cousins Maine Lobster - New York,196,3.5,$$,20854.642744698605,40.75062056634609,-73.99715105833201,,New York,10001,restaurant
70,Mingles,31,2.5,$$,473.2398737340937,40.8846189,-73.8318809,4012 Boston Rd,Bronx,10475,restaurant
71,Royal Caribbean Jamaican Bakery,12,3.5,$$,319.97747272013703,40.8880965331306,-73.8313494797047,3815 Dyre Ave,Bronx,10466,restaurant
72,Luna Pizza,15,3.5,,598.9895990304618,40.8838811784,-73.83301673,4006 Boston Rd,The Bronx,10475,restaurant
73,McDonald's,15,2.5,$,228.3770127954628,40.8856363137326,-73.8268395550949,3550 Conner St,Bronx,10475,restaurant
74,Wingstop,82,2.0,$,857.166090311229,40.890503,-73.81838422209015,4360 Boston Post Rd,Pelham,10803,restaurant
75,The Cafe at Wave Hill,140,4.5,,780.9802546912181,40.900136527179335,-73.91254847266828,675 W 249th St,Bronx,10471,restaurant
76,The Last Stop,119,4.5,$$,862.6208346157086,40.88976,-73.89854,5977 Broadway,Bronx,10471,restaurant
77,Greek Express,246,4.0,$$,900.9977577827595,40.887465130647726,-73.90755915766862,3733 Riverdale Ave,Bronx,10463,restaurant
78,Yo-Burger,283,4.0,$$,903.9972688809588,40.88739,-73.90695,3726 Riverdale Ave,Bronx,10463,restaurant
79,Salvatores of Soho,331,4.0,$$,871.2741489520822,40.8875232,-73.90704,3738 Riverdale Ave,Bronx,10463,restaurant
80,Jake's Steakhouse - Bronx,272,4.0,$$$,786.8299093602091,40.891706,-73.897689,6031 Broadway,Bronx,10471,restaurant
81,Tin Marin,358,4.0,$$,940.2779842556888,40.8870296802542,-73.9068375260971,3708 Riverdale Ave,Bronx,10463,restaurant
82,Claudy's Kitchen,88,4.5,,874.6275750282257,40.88987,-73.89848,5981 Broadway,Bronx,10471,restaurant
83,An Beal Bocht Cafe,148,4.0,$$,885.7997844380066,40.88738,-73.90498,445 W 238th St,Bronx,10463,restaurant
84,Tortoise & Hare,76,4.5,,766.8194921745603,40.89415,-73.89668,6115 Broadway,Bronx,10471,restaurant
85,Neem Indian Cuisine,91,4.5,$$,1066.2420568842683,40.886547,-73.909968,3549 Johnson Ave,New York,10463,restaurant
86,Blackstone Bar & Grill,100,4.0,$$,906.841383368562,40.887361171014,-73.9071422050018,3713 Riverdale Ave,Bronx,10463,restaurant
87,Santa Fe Grill & Bar,106,3.5,$$,790.3023850874491,40.891321,-73.8977337,6025 Broadway,Bronx,10471,restaurant
88,Moon Thai Kitchen,56,4.0,,931.4022758122824,40.88711,-73.90471,438 W 238th St,Bronx,10463,restaurant
89,Broadway Joe's Pizza,72,4.0,$,862.1229797132875,40.8899,-73.89846,5983 Broadway,Bronx,10471,restaurant
90,City Tamale,73,4.5,$,9634.568124940686,40.8102546,-73.8846809,1316 Oak Point Ave,Bronx,10474,restaurant
