Distance (m),Name,Neighbourhood,Zipcode,Reviews,Rating,Price,Latitude,Longitude,Borough,Category
279,Sixpoint Brewery,Northwest Brooklyn ,11231,,4.058823529,2,40.67625323,-74.01275897,Brooklyn,restaurant
245,Widow Jane Distillery,Northwest Brooklyn ,11231,,3.901960784,,40.67625323,-74.01275897,Brooklyn,restaurant
443,Red Hook Lobster Pound,Northwest Brooklyn ,11231,1747,4,2,40.67976871,-74.0103687,Brooklyn,restaurant
338,San Pedro - Brook,Northwest Brooklyn ,11231,,3.980392157,2,40.67625323,-74.01275897,Brooklyn,restaurant
540,Red Hook Winery,Northwest Brooklyn ,11231,,4.37254902,2,40.67625323,-74.01275897,Brooklyn,restaurant
583,Liberty Warehouse,Northwest Brooklyn ,11231,,4.450980392,,40.67625323,-74.01275897,Brooklyn,restaurant
685,Defonte's,Northwest Brooklyn ,11231,,4.607843137,2,40.67625323,-74.01275897,Brooklyn,restaurant
345,Rocky Sullivan's,Northwest Brooklyn ,11231,,3.823529412,1,40.67625323,-74.01275897,Brooklyn,restaurant
634,Seaborne,Northwest Brooklyn ,11231,,4.058823529,3,40.67625323,-74.01275897,Brooklyn,restaurant
358,The Black Flamingo,Northwest Brooklyn ,11231,68,4.5,1,40.67908468,-74.0106728,Brooklyn,restaurant
957,Red Hook Food Vendors,Northwest Brooklyn ,11231,,4.215686275,1,40.67625323,-74.01275897,Brooklyn,restaurant
890,Jalopy Tavern,Northwest Brooklyn ,11231,40,4,2,40.6812946,-74.00434248,Brooklyn,restaurant
319,Mark's Pizza,Northwest Brooklyn ,11231,,3.196078431,1,40.67625323,-74.01275897,Brooklyn,restaurant
195,AR Hot Bagels,Northwest Brooklyn ,11231,,3.117647059,1,40.67625323,-74.01275897,Brooklyn,restaurant
116,F & M Bagels,Northwest Brooklyn ,11231,,2.882352941,1,40.67625323,-74.01275897,Brooklyn,restaurant
194,Red Hook Coffee Shop,Northwest Brooklyn ,11231,,2.882352941,1,40.67625323,-74.01275897,Brooklyn,restaurant
232,The Bell House,Northwest Brooklyn ,11215,,4.37254902,2,40.67393114,-73.99444087,Brooklyn,restaurant
403,Halyards,Northwest Brooklyn ,11215,,4.450980392,2,40.67393114,-73.99444087,Brooklyn,restaurant
429,Table 87 Coal Oven Pizza,Northwest Brooklyn ,11215,,4.37254902,1,40.67393114,-73.99444087,Brooklyn,restaurant
509,Pizza Moto,Northwest Brooklyn ,11231,225,4.5,2,40.6746224,-74.0007999,Brooklyn,restaurant
444,Santo Brúklin,Northwest Brooklyn ,11231,,4.294117647,2,40.67393114,-73.99444087,Brooklyn,restaurant
777,My Cuban Spot,Northwest Brooklyn ,11215,269,4.5,2,40.67690863,-73.98615382,Brooklyn,restaurant
673,Avlee Greek Kitchen,Northwest Brooklyn ,11231,292,4.5,2,40.679911,-73.994879,Brooklyn,restaurant
700,Dirty Precious,Northwest Brooklyn ,11215,,4.450980392,2,40.67393114,-73.99444087,Brooklyn,restaurant
755,Baba's Pierogies,Northwest Brooklyn ,11215,460,4.5,2,40.67687,-73.98633,Brooklyn,restaurant
412,Sweet Talk,Northwest Brooklyn ,11215,,3.901960784,,40.67393114,-73.99444087,Brooklyn,restaurant
482,Brooklyn Habit,Northwest Brooklyn ,11231,,3.901960784,1,40.67393114,-73.99444087,Brooklyn,restaurant
782,Reyes Deli & Grocery,Northwest Brooklyn ,11215,,4.529411765,1,40.67393114,-73.99444087,Brooklyn,restaurant
814,The Owl Farm,Northwest Brooklyn ,11215,,4.529411765,1,40.67393114,-73.99444087,Brooklyn,restaurant
795,Bagel Pub,Northwest Brooklyn ,11215,523,4,1,40.66968657,-73.98689078,Brooklyn,restaurant
797,Claro,Northwest Brooklyn ,11215,,4.294117647,1,40.67393114,-73.99444087,Brooklyn,restaurant
123,Miss Ada,Northwest Brooklyn ,11205,398,4.5,3,40.689436,-73.9723809,Brooklyn,restaurant
121,Karasu,Northwest Brooklyn ,11217,,4.450980392,3,40.68852726,-73.97290574,Brooklyn,restaurant
123,Walter's,Northwest Brooklyn ,11217,603,4,2,40.68941116,-73.97325897,Brooklyn,restaurant
200,Evelina,Northwest Brooklyn ,11205,296,4.5,3,40.689722,-73.971003,Brooklyn,restaurant
214,Olea,Central Brooklyn (Bedford Stuyvesant – Crown Heights),11238,1311,4,2,40.6877844,-73.9706046,Brooklyn,restaurant
197,Dick & Jane's,Northwest Brooklyn ,11205,,4.450980392,3,40.68852726,-73.97290574,Brooklyn,restaurant
122,Bittersweet,Northwest Brooklyn ,11205,,4.137254902,1,40.68852726,-73.97290574,Brooklyn,restaurant
278,Café Paulette,Northwest Brooklyn ,11217,603,4.37254902,2,40.68852726,-73.97290574,Brooklyn,restaurant
306,Roman's,Northwest Brooklyn ,11205,300,4.294117647,3,40.68852726,-73.97290574,Brooklyn,restaurant
316,Brooklyn Public House,Northwest Brooklyn ,11205,,4.294117647,2,40.68852726,-73.97290574,Brooklyn,restaurant
369,Dosa Royale,Northwest Brooklyn ,11205,,4.450980392,2,40.68852726,-73.97290574,Brooklyn,restaurant
488,Loreto Italian Kitchen & Bar,Northwest Brooklyn ,11217,,4.921568627,2,40.68852726,-73.97290574,Brooklyn,restaurant
314,Die Stammkneipe,Northwest Brooklyn ,11217,,4.137254902,2,40.68852726,-73.97290574,Brooklyn,restaurant
275,Black Forest Brooklyn,Northwest Brooklyn ,11217,,3.980392157,2,40.68852726,-73.97290574,Brooklyn,restaurant
283,Hungry Ghost,Northwest Brooklyn ,11217,443,3.980392157,1,40.68852726,-73.97290574,Brooklyn,restaurant
559,LaRina Pastificio & Vino,Northwest Brooklyn ,11205,211,4,2,40.69336319,-73.97041321,Brooklyn,restaurant
277,Endswell Bar & Bistro,Northwest Brooklyn ,11217,,3.901960784,2,40.68852726,-73.97290574,Brooklyn,restaurant
552,Coffee Project New York,Northwest Brooklyn ,11217,,4.450980392,1,40.68852726,-73.97290574,Brooklyn,restaurant
580,Aita,Central Brooklyn (Bedford Stuyvesant – Crown Heights),11238,535,4,3,40.686412,-73.966629,Brooklyn,restaurant
586,Chef Katsu Brooklyn,Central Brooklyn (Bedford Stuyvesant – Crown Heights),11238,,4.450980392,2,40.68852726,-73.97290574,Brooklyn,restaurant
219,Mo's Fort Greene,Northwest Brooklyn ,11217,,3.666666667,2,40.68852726,-73.97290574,Brooklyn,restaurant
578,Las Santas,Lower Manhattan,10038,,4.294117647,3,40.68852726,-73.97290574,Manhattan,restaurant
480,Fulton Hall,Northwest Brooklyn ,11217,,4.058823529,2,40.68852726,-73.97290574,Brooklyn,restaurant
375,Peckish,Northwest Brooklyn ,11205,,3.901960784,1,40.68852726,-73.97290574,Brooklyn,restaurant
658,Mike's Coffee Shop,Northwest Brooklyn ,11205,,4.450980392,1,40.68852726,-73.97290574,Brooklyn,restaurant
225,Sushi Katsuei,Northwest Brooklyn ,11215,501,4,3,40.6707147,-73.9785903,Brooklyn,restaurant
347,Café Regular du Nord,Northwest Brooklyn ,11217,,4.294117647,2,40.67232052,-73.9770503,Brooklyn,restaurant
465,Haenyeo,Northwest Brooklyn ,11215,,4.529411765,2,40.67232052,-73.9770503,Brooklyn,restaurant
445,Bagel Pub,Northwest Brooklyn ,11217,,4.450980392,1,40.67232052,-73.9770503,Brooklyn,restaurant
469,Ramen Danbo,Northwest Brooklyn ,11217,436,4.5,2,40.67611996,-73.97451997,Brooklyn,restaurant
467,The Commissioner,Northwest Brooklyn ,11215,,4.450980392,1,40.67232052,-73.9770503,Brooklyn,restaurant
568,Blueprint,Northwest Brooklyn ,11217,365,4.5,2,40.6769,-73.980411,Brooklyn,restaurant
495,Al Di La Trattoria,Northwest Brooklyn ,11215,945,4,3,40.67533264,-73.98134048,Brooklyn,restaurant
500,Union Hall,Northwest Brooklyn ,11215,1250,4.294117647,2,40.67232052,-73.9770503,Brooklyn,restaurant
503,La Bagel Delight,Northwest Brooklyn ,11215,,4.215686275,1,40.67232052,-73.9770503,Brooklyn,restaurant
554,Culture: An American Yogurt Company,Northwest Brooklyn ,11215,,4.215686275,1,40.67232052,-73.9770503,Brooklyn,restaurant
656,Bricolage,Northwest Brooklyn ,11217,634,4,3,40.67792,-73.97975,Brooklyn,restaurant
695,Pasta Louise,Northwest Brooklyn ,11215,,4.607843137,2,40.67232052,-73.9770503,Brooklyn,restaurant
535,Stone Park Cafe,Northwest Brooklyn ,11215,730,4,2,40.67297,-73.98332,Brooklyn,restaurant
529,The Gate,Northwest Brooklyn ,11215,355,4.137254902,2,40.67232052,-73.9770503,Brooklyn,restaurant
657,Sharlene's,Central Brooklyn (Bedford Stuyvesant – Crown Heights),11238,,4.294117647,1,40.67232052,-73.9770503,Brooklyn,restaurant
669,Bogota Latin Bistro,Northwest Brooklyn ,11217,2164,4,2,40.678165,-73.978976,Brooklyn,restaurant
66,Da Nonna Rosa,Northwest Brooklyn ,11215,421,4,2,40.67291,-73.97697,Brooklyn,restaurant
693,Sweet Chick,Northwest Brooklyn ,11217,821,4,2,40.67763,-73.97255,Brooklyn,restaurant
754,Barbes,Northwest Brooklyn ,11215,,4.37254902,2,40.67232052,-73.9770503,Brooklyn,restaurant
843,Ghenet,Northwest Brooklyn ,11217,,4.607843137,2,40.67232052,-73.9770503,Brooklyn,restaurant
472,Kos Kaffe Roasting House,Northwest Brooklyn ,11215,,3.823529412,1,40.67232052,-73.9770503,Brooklyn,restaurant
784,Daigo Sushi Roll,Northwest Brooklyn ,11215,,4.37254902,2,40.67232052,-73.9770503,Brooklyn,restaurant
880,Wild East Brewing Co,Northwest Brooklyn ,11217,,4.607843137,2,40.67232052,-73.9770503,Brooklyn,restaurant
557,Caterina Pizza,East New York and New Lots,11208,479,4,1,40.68071,-73.88279,Brooklyn,restaurant
356,McDonald's,East New York and New Lots,11208,1526,3.117647059,1,40.68239101,-73.87661596,Brooklyn,restaurant
108,El Gran Mar De Plata Restaurant,East New York and New Lots,11208,58,2.5,2,40.6822299,-73.87763,Brooklyn,restaurant
67,Papa John's Pizza,East New York and New Lots,11208,,2.568627451,1,40.68239101,-73.87661596,Brooklyn,restaurant
853,Subway,East New York and New Lots,11208,235,4,1,40.67672819,-73.86976665,Brooklyn,restaurant
994,Rico Chimi Brooklyn,East New York and New Lots,11207,49,3,2,40.67757058,-73.88602316,Brooklyn,restaurant
264,Wendy's,East New York and New Lots,11208,,2.019607843,1,40.68239101,-73.87661596,Brooklyn,restaurant
134,Faro Del Pacifico Pupuseria & Restaurant,East New York and New Lots,11208,,,2,40.68239101,-73.87661596,Brooklyn,restaurant
533,White Castle,East New York and New Lots,11208,2128,2.5,1,40.67922,-73.881278,Brooklyn,restaurant
196,Wo Hop Chinese Restaurant,East New York and New Lots,11208,20,2.5,1,40.681608,-73.878592,Brooklyn,restaurant
196,Tonys Pizzeria,East New York and New Lots,11208,15,4.5,1,40.68198,-73.87888,Brooklyn,restaurant
248,El Pulgarcito De America,East New York and New Lots,11208,,,2,40.68239101,-73.87661596,Brooklyn,restaurant
277,El Nuevo Puerto Plata Restaurant,East New York and New Lots,11208,,,2,40.68239101,-73.87661596,Brooklyn,restaurant
343,Lee Chinese Restaurant,East New York and New Lots,11208,,,1,40.68239101,-73.87661596,Brooklyn,restaurant
381,Chef Quang,East New York and New Lots,11208,370,4,2,40.68239101,-73.87661596,Brooklyn,restaurant
925,Checkers,East New York and New Lots,11208,358,2.098039216,1,40.68239101,-73.87661596,Brooklyn,restaurant
546,Cafe Columbian,East New York and New Lots,11208,,,1,40.68239101,-73.87661596,Brooklyn,restaurant
775,Reyes Bakery & Deli,East New York and New Lots,11208,,,1,40.68239101,-73.87661596,Brooklyn,restaurant
798,El Nuevo Bongar,East New York and New Lots,11208,,,2,40.68239101,-73.87661596,Brooklyn,restaurant
830,China King,East New York and New Lots,11208,,,1,40.68239101,-73.87661596,Brooklyn,restaurant
830,Tavares Restaurant,East New York and New Lots,11208,56,3,1,40.67941,-73.88562,Brooklyn,restaurant
853,Panda House,East New York and New Lots,11208,152,3.8,1,40.68239101,-73.87661596,Brooklyn,restaurant
918,New Foo Shun Restaurant,East New York and New Lots,11208,,,1,40.68239101,-73.87661596,Brooklyn,restaurant
48,Blue Parrot Bar,East New York and New Lots,11208,,,,40.68239101,-73.87661596,Brooklyn,restaurant
142,L Progresso,East New York and New Lots,11208,,,,40.68239101,-73.87661596,Brooklyn,restaurant
452,Caterinas Pizzeria,East New York and New Lots,11207,272,4,1,40.66653,-73.883445,Brooklyn,restaurant
67,J&J Deli,East New York and New Lots,11208,,,1,40.6699257,-73.88069864,Brooklyn,restaurant
70,Norberto Deli Grocery,East New York and New Lots,11208,,,1,40.6699257,-73.88069864,Brooklyn,restaurant
448,La Bona Pizza,East New York and New Lots,11208,,,1,40.6699257,-73.88069864,Brooklyn,restaurant
471,P K Fish Market,East New York and New Lots,11207,,,3,40.6699257,-73.88069864,Brooklyn,restaurant
940,Domino's Pizza,East New York and New Lots,11207,797,1,1,40.654112,-73.886769,Brooklyn,restaurant
634,Cachapas Brooklyn,East New York and New Lots,11207,149,4.5,1,40.67333,-73.88706,Brooklyn,restaurant
800,Jus Chill Bar And Grill,East New York and New Lots,11207,,,2,40.6699257,-73.88069864,Brooklyn,restaurant
807,American Hero Restaurant,East New York and New Lots,11208,,,1,40.6699257,-73.88069864,Brooklyn,restaurant
809,Leandro Food Center,East New York and New Lots,11207,,,1,40.6699257,-73.88069864,Brooklyn,restaurant
830,Island Tropics,East New York and New Lots,11207,,,2,40.6699257,-73.88069864,Brooklyn,restaurant
901,Texas Fried Chicken,East New York and New Lots,11208,,,1,40.6699257,-73.88069864,Brooklyn,restaurant
941,Uluangies Hawaiian Shave Ice,East New York and New Lots,11208,,,1,40.6699257,-73.88069864,Brooklyn,restaurant
949,Castillo Seafood,East New York and New Lots,11207,,,3,40.6699257,-73.88069864,Brooklyn,restaurant
977,Brookdale Deli,East New York and New Lots,11208,,,1,40.6699257,-73.88069864,Brooklyn,restaurant
1253,Anthony's Restaurant,East New York and New Lots,11207,,,2,40.6699257,-73.88069864,Brooklyn,restaurant
441,760 New Lots Chicken,East New York and New Lots,11207,,,,40.6699257,-73.88069864,Brooklyn,restaurant
510,El Sabor de la Esquina,East New York and New Lots,11208,,,,40.6699257,-73.88069864,Brooklyn,restaurant
637,Mi Tierra Rd Cargo Express,East New York and New Lots,11207,,,,40.6699257,-73.88069864,Brooklyn,restaurant
730,Patron Bar & Grill Co.,East New York and New Lots,11208,,,,40.6699257,-73.88069864,Brooklyn,restaurant
747,Ventrona's Casita,East New York and New Lots,11207,,,,40.6699257,-73.88069864,Brooklyn,restaurant
812,3 Ds Restaurant,East New York and New Lots,11207,,,,40.6699257,-73.88069864,Brooklyn,restaurant
927,Panera Bread,Canarsie and Flatlands,11239,990,2.5,2,40.65342166,-73.87149236,Brooklyn,restaurant
669,Outback Steakhouse,Canarsie and Flatlands,11239,3637,3,2,40.64973341,-73.87195871,Brooklyn,restaurant
951,IHOP,East New York and New Lots,11207,2818,3.5,2,40.65022,-73.89013,Brooklyn,restaurant
940,Pizza Studio,Canarsie and Flatlands,11239,769,4,1,40.653457,-73.87144,Brooklyn,restaurant
941,Smashburger,Canarsie and Flatlands,11239,1782,3,2,40.65172,-73.87286,Brooklyn,restaurant
868,Red Lobster,Canarsie and Flatlands,11239,4824,2.5,2,40.65088277,-73.86984724,Brooklyn,restaurant
945,Olive Garden,Canarsie and Flatlands,11239,,3.274509804,2,40.64758905,-73.8793697,Brooklyn,restaurant
267,Boston Market,Canarsie and Flatlands,11239,574,2,2,40.64725,-73.88254836,Brooklyn,restaurant
353,Golden Krust Caribbean Bakery And Grill,Canarsie and Flatlands,11239,,2.725490196,1,40.64758905,-73.8793697,Brooklyn,restaurant
357,Armandos Pizza,Canarsie and Flatlands,11239,83,3.5,1,40.646676,-73.883467,Brooklyn,restaurant
864,Subway,East New York and New Lots,11207,107,2.647058824,1,40.64758905,-73.8793697,Brooklyn,restaurant
915,Little Caesars Pizza,East New York and New Lots,11207,209,2.647058824,1,40.64758905,-73.8793697,Brooklyn,restaurant
854,Applebee's,Canarsie and Flatlands,11239,,2.490196078,2,40.64758905,-73.8793697,Brooklyn,restaurant
369,China Star,Canarsie and Flatlands,11239,85,2,1,40.64669219,-73.88350834,Brooklyn,restaurant
918,What's A Bagel Deli,Canarsie and Flatlands,11239,,,1,40.64758905,-73.8793697,Brooklyn,restaurant
958,Juicy King Crab Express,East New York and New Lots,11207,15,2.5,3,40.653999,-73.886696,Brooklyn,restaurant
963,Sarku Japan,East New York and New Lots,11207,41,3,1,40.650745,-73.889875,Brooklyn,restaurant
974,Pizza Hut,Canarsie and Flatlands,11239,,,1,40.64758905,-73.8793697,Brooklyn,restaurant
141,Brooklyn Healty Juice Bar,Canarsie and Flatlands,11239,,,,40.64758905,-73.8793697,Brooklyn,restaurant
141,Little Blue Swim NYC,Canarsie and Flatlands,11239,,,,40.64758905,-73.8793697,Brooklyn,restaurant
321,Donut Connection,East New York and New Lots,11207,,,,40.64758905,-73.8793697,Brooklyn,restaurant
679,Bloomin Brands,Canarsie and Flatlands,11239,,,,40.64758905,-73.8793697,Brooklyn,restaurant
814,Dave & Buster's,Canarsie and Flatlands,11239,19,3.5,,40.650642,-73.8706667,Brooklyn,restaurant
941,David's Deli,East New York and New Lots,11207,,,,40.64758905,-73.8793697,Brooklyn,restaurant
826,De Island,Canarsie and Flatlands,11236,,3.666666667,2,40.63556433,-73.9020927,Brooklyn,restaurant
619,Richard's Diner,Canarsie and Flatlands,11236,140,2.5,2,40.6381798,-73.8955612,Brooklyn,restaurant
643,Burger King,Canarsie and Flatlands,11236,1210,2.725490196,1,40.63556433,-73.9020927,Brooklyn,restaurant
616,Dougie's Jamaican Cuisine,Canarsie and Flatlands,11236,348,2,2,40.638145,-73.895614,Brooklyn,restaurant
822,Golden Krust Caribbean Restaurant,Canarsie and Flatlands,11236,,2.803921569,2,40.63556433,-73.9020927,Brooklyn,restaurant
500,Bamboo Garden,Canarsie and Flatlands,11236,426,3,2,40.6378823,-73.8967535,Brooklyn,restaurant
896,Little Caesars Pizza,Canarsie and Flatlands,11236,200,2.725490196,1,40.63556433,-73.9020927,Brooklyn,restaurant
770,Hot Bagels,Canarsie and Flatlands,11236,,2.647058824,4,40.63556433,-73.9020927,Brooklyn,restaurant
456,Chloe's Restaurant & Lounge,Canarsie and Flatlands,11236,204,2.5,2,40.63756647,-73.89729773,Brooklyn,restaurant
178,Double Dragon,Canarsie and Flatlands,11236,85,3.6,2,40.63556433,-73.9020927,Brooklyn,restaurant
660,Yummie Taco,Canarsie and Flatlands,11236,,2.098039216,1,40.63556433,-73.9020927,Brooklyn,restaurant
404,Citadelle Bar & Restaurant,Canarsie and Flatlands,11236,,,2,40.63556433,-73.9020927,Brooklyn,restaurant
420,Honey Bees Kitchen,Canarsie and Flatlands,11236,,,2,40.63556433,-73.9020927,Brooklyn,restaurant
468,New Lin Wang,Canarsie and Flatlands,11236,11,3.5,1,40.63772,-73.897255,Brooklyn,restaurant
582,Good Friend,Canarsie and Flatlands,11236,,,2,40.63556433,-73.9020927,Brooklyn,restaurant
583,Sally's Fish & Things,Canarsie and Flatlands,11236,29,3.5,2,40.63997683,-73.90608067,Brooklyn,restaurant
622,Keyfood,Canarsie and Flatlands,11236,,,,40.63556433,-73.9020927,Brooklyn,restaurant
625,Bear Burgers,Canarsie and Flatlands,11236,,,1,40.63556433,-73.9020927,Brooklyn,restaurant
806,Popeyes Louisiana Kitchen,Canarsie and Flatlands,11236,501,1.862745098,1,40.63556433,-73.9020927,Brooklyn,restaurant
789,Foster Deli,Canarsie and Flatlands,11236,,,2,40.63556433,-73.9020927,Brooklyn,restaurant
808,Hellshire grill & juice bar,Canarsie and Flatlands,11236,,,2,40.63556433,-73.9020927,Brooklyn,restaurant
810,Trinijam Roti,Canarsie and Flatlands,11236,,,2,40.63556433,-73.9020927,Brooklyn,restaurant
816,Eastern Chinese Restaurant,Canarsie and Flatlands,11236,,,1,40.63556433,-73.9020927,Brooklyn,restaurant
843,L'Impressioniste Restaurant,Canarsie and Flatlands,11236,,,2,40.63556433,-73.9020927,Brooklyn,restaurant
916,Peppa’s Jerk Chicken,Canarsie and Flatlands,11236,47,2.5,2,40.635902,-73.9129359,Brooklyn,restaurant
883,Boston Market,Canarsie and Flatlands,11234,943,3.5,2,40.6292952,-73.9188159,Brooklyn,restaurant
190,McDonald's,Canarsie and Flatlands,11234,1411,1.5,1,40.63211803,-73.92863802,Brooklyn,restaurant
450,Topaze Restaurant,Canarsie and Flatlands,11234,59,3,2,40.6266,-73.92749,Brooklyn,restaurant
337,Popeyes Louisiana Kitchen,Canarsie and Flatlands,11234,756,3.5,1,40.633464,-73.92868,Brooklyn,restaurant
880,Arch Diner,Canarsie and Flatlands,11234,126,2.5,2,40.63152,-73.91887,Brooklyn,restaurant
360,Wendy’s,Canarsie and Flatlands,11234,,2.568627451,1,40.63044604,-73.92911303,Brooklyn,restaurant
843,Golden Krust Caribbean Bakery And Grill,Canarsie and Flatlands,11234,,2.647058824,2,40.63044604,-73.92911303,Brooklyn,restaurant
878,Domino's Pizza,Canarsie and Flatlands,11236,440,1.5,1,40.633312,-73.919273,Brooklyn,restaurant
51,Bed Stuy Fish Fry,Canarsie and Flatlands,11234,1066,2,2,40.630321,-73.928453,Brooklyn,restaurant
698,Subway,Canarsie and Flatlands,11234,184,2.411764706,1,40.63044604,-73.92911303,Brooklyn,restaurant
244,Ices Queen Italian Ices,Canarsie and Flatlands,11234,,,1,40.63044604,-73.92911303,Brooklyn,restaurant
639,K1 Buffet,Canarsie and Flatlands,11234,,2.176470588,1,40.63044604,-73.92911303,Brooklyn,restaurant
435,CZEN Restaurant,Canarsie and Flatlands,11234,,,2,40.63044604,-73.92911303,Brooklyn,restaurant
451,Halsey Bar & Grill,Canarsie and Flatlands,11234,,,2,40.63044604,-73.92911303,Brooklyn,restaurant
456,Royal Lounge Grill,Canarsie and Flatlands,11234,,,3,40.63044604,-73.92911303,Brooklyn,restaurant
477,New Way Gourmet Deli,Canarsie and Flatlands,11234,,,1,40.63044604,-73.92911303,Brooklyn,restaurant
478,Mikes International Restaurant,Canarsie and Flatlands,11234,,,,40.63044604,-73.92911303,Brooklyn,restaurant
847,Peking Restaurant,Canarsie and Flatlands,11234,,,1,40.63044604,-73.92911303,Brooklyn,restaurant
850,Lello's Pizza,Flatbush,11210,,,1,40.63044604,-73.92911303,Brooklyn,restaurant
862,Jj's Coffee Shop,Flatbush,11210,,,1,40.63044604,-73.92911303,Brooklyn,restaurant
902,Peter Deli & Grocery,Canarsie and Flatlands,11234,,,1,40.63044604,-73.92911303,Brooklyn,restaurant
927,Glenwood Grocery & Deli,Canarsie and Flatlands,11236,,,1,40.63044604,-73.92911303,Brooklyn,restaurant
871,Duet Bakery Boutique,Canarsie and Flatlands,11234,,3.901960784,1,40.60633642,-73.90818572,Brooklyn,restaurant
961,Hard Times Sundaes,Canarsie and Flatlands,11234,,3.823529412,1,40.60633642,-73.90818572,Brooklyn,restaurant
667,Nick's Lobster House,Canarsie and Flatlands,11234,2513,3.5,3,40.60358572,-73.91521594,Brooklyn,restaurant
871,Dagan Pizza,Canarsie and Flatlands,11234,,3.039215686,1,40.60633642,-73.90818572,Brooklyn,restaurant
992,Nathan's Famous,Canarsie and Flatlands,11234,,2.333333333,1,40.60633642,-73.90818572,Brooklyn,restaurant
737,Main House BBQ,Canarsie and Flatlands,11234,74,4,3,40.61184311,-73.91307068,Brooklyn,restaurant
790,Funfest Family Entertainment,Canarsie and Flatlands,11234,,,,40.60633642,-73.90818572,Brooklyn,restaurant
871,Hunan West,Canarsie and Flatlands,11234,,,2,40.60633642,-73.90818572,Brooklyn,restaurant
874,Joseph Dream Burger,Canarsie and Flatlands,11234,,,1,40.60633642,-73.90818572,Brooklyn,restaurant
874,Dagan Grille,Canarsie and Flatlands,11234,8,4.5,2,40.6134624,-73.91211301,Brooklyn,restaurant
982,Sabrett Food Cart,Canarsie and Flatlands,11234,,,1,40.60633642,-73.90818572,Brooklyn,restaurant
1068,Yong Kang Street,Canarsie and Flatlands,11234,246,2.5,2,40.610084,-73.918746,Brooklyn,restaurant
661,Nick's Lobster Fish Market,Canarsie and Flatlands,11234,,,,40.60633642,-73.90818572,Brooklyn,restaurant
868,House Of Salads,Canarsie and Flatlands,11234,5,5,,40.60633642,-73.90818572,Brooklyn,restaurant
874,Duet Bakery and Restaurant,Canarsie and Flatlands,11234,397,3.5,2,40.61354584,-73.91231657,Brooklyn,restaurant
878,FalafaPita Gluten Free,Canarsie and Flatlands,11234,,,,40.60633642,-73.90818572,Brooklyn,restaurant
923,Jimmy's Famous Heroes,Southern Brooklyn,11235,,3.823529412,1,40.5779135,-73.94353723,Brooklyn,restaurant
772,Yiasou,Southern Brooklyn,11235,378,3.274509804,2,40.5779135,-73.94353723,Brooklyn,restaurant
678,Emmons Palace,Southern Brooklyn,11235,,2.647058824,2,40.5779135,-73.94353723,Brooklyn,restaurant
459,Chillax Manhattan Beach Cafe,Southern Brooklyn,11235,,2.333333333,1,40.5779135,-73.94353723,Brooklyn,restaurant
782,Baku Palace Restaurant,Southern Brooklyn,11235,156,3.5,3,40.584057,-73.948181,Brooklyn,restaurant
454,Panini Tozt Cafe,Southern Brooklyn,11235,114,3.5,1,40.5779135,-73.94353723,Brooklyn,restaurant
723,XO Creperie,Southern Brooklyn,11235,,2.019607843,2,40.5779135,-73.94353723,Brooklyn,restaurant
742,Oda House,Southern Brooklyn,11235,,,,40.5779135,-73.94353723,Brooklyn,restaurant
803,Papa Carlo,Southern Brooklyn,11235,,,1,40.5779135,-73.94353723,Brooklyn,restaurant
829,Ocean View Deli,Southern Brooklyn,11235,,,1,40.5779135,-73.94353723,Brooklyn,restaurant
408,Coney Island Brewing Co,Southern Brooklyn,11224,,4.215686275,2,40.57429256,-73.98868296,Brooklyn,restaurant
622,Nathan's Famous,Southern Brooklyn,11224,12597,3.5,2,40.57539,-73.98151,Brooklyn,restaurant
606,Gargiulo's Restaurant,Southern Brooklyn,11224,,3.666666667,3,40.57429256,-73.98868296,Brooklyn,restaurant
479,Footprints Cafe,Southern Brooklyn,11224,1425,2.5,2,40.575732,-73.983242,Brooklyn,restaurant
751,"""""""""""""Nathan's Famous""""""""""""",Southern Brooklyn,11224,,3.352941176,2,40.57429256,-73.98868296,Brooklyn,restaurant
727,Ruby's Bar & Grill,Southern Brooklyn,11224,,3.274509804,1,40.57429256,-73.98868296,Brooklyn,restaurant
876,Paul's Daughter,Southern Brooklyn,11224,84,3.5,1,40.57347962,-73.97831879,Brooklyn,restaurant
628,Coney Island Beach Shop,Southern Brooklyn,11224,,2.882352941,,40.57429256,-73.98868296,Brooklyn,restaurant
834,IHOP,Southern Brooklyn,11224,2587,2.5,2,40.5757199,-73.978827,Brooklyn,restaurant
833,Coney's Cones,Southern Brooklyn,11224,,2.882352941,1,40.57429256,-73.98868296,Brooklyn,restaurant
770,Sideshows By The Seashore,Southern Brooklyn,11224,,2.803921569,,40.57429256,-73.98868296,Brooklyn,restaurant
758,Auntie Anne's,Southern Brooklyn,11224,,2.803921569,1,40.57429256,-73.98868296,Brooklyn,restaurant
656,Pizza On The Run,Southern Brooklyn,11224,,2.647058824,1,40.57429256,-73.98868296,Brooklyn,restaurant
742,Popeyes Louisiana Kitchen,Southern Brooklyn,11224,651,1,1,40.57564,-73.99733,Brooklyn,restaurant
884,Domino's Pizza,Southern Brooklyn,11224,801,2.490196078,1,40.57429256,-73.98868296,Brooklyn,restaurant
98,Express Deli,Southern Brooklyn,11224,,,1,40.57429256,-73.98868296,Brooklyn,restaurant
887,The Cyclone Rollercoaster,Southern Brooklyn,11224,,2.490196078,4,40.57429256,-73.98868296,Brooklyn,restaurant
