Borough,Neighbourhood,Latitude,Longitude,Zipcode,Restaurant_Count_Name,Restaurant_Count_Reviews,Restaurant_Count_Rating,Restaurant_Count_Price,Restaurant_Mean_Distance (m),Restaurant_Mean_Reviews,Restaurant_Mean_Rating,Restaurant_Mean_Price,Restaurant_Sum_Reviews,Restaurant_Sum_Rating,Restaurant_Sum_Price,School_Count_Name,School_Mean_Reviews,School_Mean_Rating,School_Sum_Reviews,School_Sum_Rating,School_Sum_Price,Park_Count_Name,Park_Mean_Reviews,Park_Mean_Rating,Park_Sum_Reviews,Park_Sum_Rating,Transit_Count_Name,Transit_Mean_Reviews,Transit_Mean_Rating,Transit_Sum_Reviews,Transit_Sum_Rating,Grocery_Count_Name,Grocery_Mean_Reviews,Grocery_Mean_Rating,Grocery_Sum_Reviews,Grocery_Sum_Rating,Rat_Sum_Case Open?,Rat_Sum_Days Complaint Open,Rat_Count_Created Date,Rat_Count_Closed Date,Rat_Mean_Case Open?,Rat_Mean_Created Year,Rat_Mean_Created Month,Rat_Mean_Created Day,Rat_Mean_Closed Year,Rat_Mean_Closed Month,Rat_Mean_Closed Day,Rat_Mean_Days Complaint Open,Uber_Sum_Ride Count,Uber_Count_Ride Count,Uber_Mean_Month,Uber_Mean_Day,Uber_Mean_Ride Count
Staten Island,Sunnyside,40.61276016,-74.09712552,10301,41,0,32,35,646.8536585,,3.845588235,1.485714286,0,123.0588235,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Park Hill,40.60919044,-74.08015735,10304,24,0,5,12,726.25,,2.960784314,1.583333333,0,14.80392157,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Westerleigh,40.62109047,-74.13304144,10302,66,46,58,57,767.231312,266.1521739,3.85,1.50877193,12243,223.3,86,20,10,4.290909091,110,47.2,0,8,87,3.9125,696,31.3,34,1,5,4,20,9,47.57142857,4.228571429,333,29.6,6,907,72,67,0.083333333,2017.263889,6.597222222,15.41666667,2017.208955,6.552238806,16.62686567,13.53731343,,,,,
Staten Island,Graniteville,40.62017151,-74.15315246,10303,25,0,18,23,747.32,,2.973856209,1.565217391,0,53.52941176,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Arlington,40.6353251,-74.1651042,10303,17,0,3,9,587.3529412,,2.333333333,1.111111111,0,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Arrochar,40.59631257,-74.06712363,10305,24,0,7,15,477.625,,2.927170868,1.533333333,0,20.49019608,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Grasmere,40.59826836,-74.07667436,10304,25,0,12,24,637.56,,3.261437908,1.666666667,0,39.1372549,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Old Town,40.59632891,-74.08751118,10305,25,0,15,24,476.76,,3.175163399,1.666666667,0,47.62745098,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Dongan Hills,40.58867295,-74.09639905,10305,25,0,16,24,483.68,,3.357843137,1.666666667,0,53.7254902,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Midland Beach,40.57352691,-74.09348266,10306,25,0,8,22,798.16,,2.901960784,1.318181818,0,23.21568627,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Grant City,40.57621559,-74.10585599,10306,25,0,22,25,547.96,,3.267379679,1.6,0,71.88235294,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,New Dorp Beach,40.56425549,-74.10432707,10306,25,0,14,24,685.2,,2.949579832,1.416666667,0,41.29411765,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Bay Terrace,40.55398801,-74.13916622,10308,96,74,79,65,605.3019064,243.4864865,3.877587491,1.769230769,18018,306.3294118,115,31,21.3125,4.49375,341,71.9,0,9,33.85714286,4.028571429,237,28.2,35,14.5,4.4,29,8.8,2,783.5,4.2,1567,8.4,7,2261,83,76,0.084337349,2016.240964,6.686746988,14.98795181,2016.5,7.407894737,16.86842105,29.75,,,,,
Staten Island,Huguenot,40.53191192,-74.19174106,10312,10,0,2,5,183.6,,3.392156863,1.6,0,6.784313725,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Pleasant Plains,40.52469938,-74.21983107,10309,16,0,6,13,578.8125,,3.222222222,1.307692308,0,19.33333333,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Butler Manor,40.50608165,-74.2295035,,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Charleston,40.53053148,-74.23215776,10309,25,0,12,22,695.52,,3.450980392,1.772727273,0,41.41176471,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Rossville,40.54940401,-74.21572851,10309,18,0,8,11,552.5555556,,2.852941176,1.363636364,0,22.82352941,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Arden Heights,40.54928582,-74.18588675,10312,7,0,3,6,701.1428571,,3.013071895,1.333333333,0,9.039215686,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Greenridge,40.55529524,-74.17079415,10312,17,0,9,15,616.9411765,,2.65577342,1.4,0,23.90196078,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Heartland Village,40.58913895,-74.15902208,10314,24,0,11,18,688.25,,2.625668449,1.166666667,0,28.88235294,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Chelsea,40.59472603,-74.18956046,10314,41,0,30,35,503.5365854,,4.134640523,1.914285714,0,124.0392157,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Bloomfield,40.60577868,-74.18725638,10314,7,0,2,3,661.2857143,,2.137254902,1,0,4.274509804,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Bulls Head,40.6095918,-74.15940949,10314,25,0,18,23,391.04,,2.803921569,1.434782609,0,50.47058824,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Richmond Town,40.56960594,-74.1340573,10306,20,0,10,14,710.45,,3.039215686,1.5,0,30.39215686,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Shore Acres,40.60971934,-74.06667766,10305,25,0,12,24,533.12,,3.241830065,1.5,0,38.90196078,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Clifton,40.61917845,-74.07264245,10304,25,0,10,24,645,,3.556862745,1.583333333,0,35.56862745,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Concord,40.60447319,-74.08402365,10305,148,129,134,104,629.0774554,183.1085271,3.869841967,1.644230769,23621,518.5588235,171,45,13.68,4.496,342,112.4,0,26,164.625,4.391666667,3951,105.4,112,2.53125,4.24375,81,135.8,5,392,4.04,1960,20.2,9,1835,108,98,0.083333333,2016.583333,6.787037037,15.71296296,2016.673469,7.051020408,17.92857143,18.7244898,,,,,
Staten Island,Emerson Hill,40.60679439,-74.09776207,10304,12,0,3,6,843.4166667,,2.594771242,1.166666667,0,7.784313725,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Randall Manor,40.63563001,-74.09805062,10301,99,80,89,71,686.709373,178.625,3.826481604,1.704225352,14290,340.5568627,121,55,11.96774194,4.138709677,371,128.3,0,41,312.5,4.426470588,10625,150.5,94,28.86363636,4.104545455,635,90.3,3,342,4,1026,12,5,1795,123,118,0.040650407,2017.195122,6.284552846,16.03252033,2017.305085,6.313559322,15.75423729,15.21186441,11,11,6.363636364,12.54545455,1
Staten Island,Howland Hook,40.63843284,-74.18622332,7202,3,0,1,2,864.6666667,,2.725490196,1.5,0,2.725490196,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Elm Park,40.63014674,-74.14181679,10303,63,42,52,48,742.3372114,236.3809524,3.472021116,1.4375,9928,180.545098,69,15,6.777777778,4.166666667,61,37.5,0,7,73,4.15,438,24.9,40,1.444444444,3.555555556,13,32,3,421,3.766666667,1263,11.3,5,1560,87,82,0.057471264,2016.321839,6.712643678,15.18390805,2016.536585,7.451219512,15.26829268,19.02439024,,,,,
Staten Island,Manor Heights,40.60180958,-74.120594,10314,20,0,6,15,574.5,,3.379084967,1.4,0,20.2745098,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Willowbrook,40.60370693,-74.13208447,10314,200,184,184,137,730.1247666,193.0217391,3.654678176,1.693430657,35516,672.4607843,232,94,11.86046512,4.374418605,510,188.1,0,24,148.6190476,4.29047619,3121,90.1,136,1.444444444,4.07037037,39,109.9,8,874.375,4.15,6995,33.2,15,3590,197,183,0.076142132,2016.233503,6.431472081,15.75634518,2016.437158,6.781420765,16.89617486,19.61748634,,,,,
Staten Island,Sandy Ground,40.54113992,-74.21776636,10309,11,0,7,9,910.8181818,,2.915966387,1.222222222,0,20.41176471,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Egbertville,40.57911874,-74.12727241,10306,9,0,2,4,634.7777778,,2.764705882,1.25,0,5.529411765,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Prince's Bay,40.52626407,-74.20152556,10312,91,82,86,70,347.037984,169.9390244,3.58504332,1.585714286,13935,308.3137255,111,39,14.8,4.195,296,83.9,0,17,41.13333333,4.213333333,617,63.2,70,7.166666667,4.1,86,49.2,2,322,4.2,644,8.4,,,,,,,,,,,,,,,,,
Staten Island,Lighthouse Hill,40.57650629,-74.13792664,10306,132,124,126,92,762.6318438,210.0322581,3.757765328,1.706521739,26044,473.4784314,157,54,10.12,4.012,253,100.3,0,21,154.75,4.315,3095,86.3,125,3.238095238,4.047619048,68,85,4,513.75,4.275,2055,17.1,16,2819,155,140,0.103225806,2015.722581,6.374193548,14.89032258,2016.007143,6.921428571,16.35,20.13571429,,,,,
Staten Island,Richmond Valley,40.51954146,-74.22957081,10309,101,81,91,79,637.1277792,210.9506173,3.746132299,1.683544304,17087,340.8980392,133,25,11.53333333,4.293333333,173,64.4,0,25,56.23809524,4.542857143,1181,95.4,80,3.333333333,3.8,60,68.4,3,91,3.766666667,273,11.3,,,,,,,,,,,,,,,,,
Staten Island,Fox Hills,40.61731079,-74.08173992,10304,94,81,83,57,699.1839141,158.308642,3.860477203,1.631578947,12823,320.4196078,93,41,12.26315789,3.957894737,233,75.2,0,20,52.61111111,4.488888889,947,80.8,80,3.72,4.308,93,107.7,6,212.5,4.133333333,1275,24.8,8,2029,109,103,0.073394495,2015.623853,6.798165138,16.57798165,2015.679612,7.398058252,16.88349515,19.69902913,4,4,8,20.5,1
