Distance (m),Name,Neighbourhood,Reviews,Rating,Price,Latitude,Longitude,Borough,Zipcode,Category
559.0,Taco Bell,Eastchester,,3.9803921568627465,1.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
313.0,Mario's Pizzeria,Eastchester,,3.3529411764705883,1.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
858.0,Panera Bread,Eastchester,,3.9019607843137254,1.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
363.0,Dyre Fish Market,Eastchester,,3.3529411764705883,3.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
672.0,Smashburger,Eastchester,,3.6666666666666674,2.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
769.0,Dave & Buster's,Eastchester,,3.509803921568628,1.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
743.0,IHOP,Eastchester,,3.4313725490196076,2.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
904.0,Yumi Asian Bistro,Eastchester,,3.509803921568628,2.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
1063.0,Chipotle Mexican Grill,Eastchester,,3.509803921568628,1.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
294.0,Golden Krust Caribbean Bakery And Grill,Eastchester,,2.725490196078432,2.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
664.0,Gardens Bar & Grill,Eastchester,,2.960784313725491,2.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
963.0,Five Guys Burgers & Fries,Eastchester,,3.1176470588235303,1.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
698.0,Wendy’s,Eastchester,,2.960784313725491,1.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
838.0,Wingstop,Eastchester,,2.8823529411764715,1.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
555.0,Best Chinese Restaurant,Eastchester,,2.725490196078432,1.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
301.0,Dyre Deli Grocery,Eastchester,,2.490196078431373,1.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
228.0,McDonald's,Eastchester,,2.176470588235295,1.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
824.0,Columbus Diner,Eastchester,,2.5686274509803924,1.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
553.0,Mingles,Eastchester,,2.254901960784314,3.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
