Borough,Neighbourhood,Latitude,Longitude,Zipcode,Median_Cost_Per_Studio,Median_Cost_Per_1_Bed,Median_Cost_Per_2_Bed,Avg_Cost_Per_Studio,Avg_Cost_Per_1_Bed,Avg_Cost_Per_2_Bed,Avg_Cost_Per_3_Bed,Restaurant_Count_Name,Restaurant_Mean_Distance (m),Restaurant_Mean_Rating,Restaurant_Mean_Price,Restaurant_Sum_Reviews,School_Count_Name,Park_Count_Name,Transit_Count_Name,Grocery_Count_Name,Rat_Mean_Case Open?,Rat_Mean_Days Complaint Open,Uber_Sum_Ride Count,Uber_Mean_Ride Count,Resto_Cluster,Transport_Cluster,Location_Cluster,Resto_Rat_Cluster,POI_Cluster
Bronx,Westchester Square,40.8406195,-73.84219408,10461,,1700,1725,,,,,25,455.16,3.099192618,1.375,0,0,0,0,0,0,12.59756098,1,1,1,0,1,3,2
Bronx,Van Nest,40.84360847,-73.86629918,10460,,1625,2200,,,,,54,533.495387,3.511437908,1.369565217,7408,22,21,28,12,0.002336449,8.28271028,0,0,1,2,1,3,0
Bronx,Morris Park,40.84754906,-73.85040178,10461,,1500,2050,,,,,25,626.76,3.091503268,1.47826087,0,0,0,0,0,0.007751938,11.97674419,0,0,1,2,1,3,2
Bronx,Belmont,40.8572771,-73.88845196,10458,,1400,1856,,,,,82,589.7970135,4.038247398,1.573333333,20614,22,28,38,12,0.003464203,10.75057737,5,1,1,0,1,1,0
Bronx,Spuyten Duyvil,40.88139498,-73.91719048,10463,,,,,,,,86,770.6330258,3.798395722,1.649350649,29501,33,32,44,11,0,14.85714286,0,0,1,2,1,1,0
Bronx,North Riverdale,40.90854283,-73.90453055,10471,,,,,,,,62,524.2815712,3.814669572,1.566037736,9662,28,17,27,3,0,21.13793103,0,0,1,2,1,0,0
Bronx,Pelham Bay,40.85064141,-73.83207378,10461,1945,1750,1950,,,,,117,584.6455097,3.951014792,1.574257426,33854,46,18,56,5,0.005988024,9.868263473,0,0,1,2,1,1,0
Bronx,Schuylerville,40.82657952,-73.82620276,10465,,,,,,,,25,486.88,3.411764706,1.391304348,0,0,0,0,0,0,9.104166667,0,0,1,2,1,3,2
Bronx,Edgewater Park,40.82198612,-73.81388514,10465,,,,,,,,87,623.8995393,3.649901961,1.630136986,21097,30,12,55,3,0,12.84745763,0,0,1,2,1,1,0
Bronx,Castle Hill,40.81901438,-73.8480273,10473,,1895,2300,,,,,53,781.9793772,3.373436041,1.529411765,8703,33,18,50,8,0,6.465517241,0,0,1,2,1,3,0
