Borough,Neighbourhood,Latitude,Longitude,Zipcode,Restaurant_Count_Name,Restaurant_Count_Reviews,Restaurant_Count_Rating,Restaurant_Count_Price,Restaurant_Mean_Distance (m),Restaurant_Mean_Reviews,Restaurant_Mean_Rating,Restaurant_Mean_Price,Restaurant_Sum_Reviews,Restaurant_Sum_Rating,Restaurant_Sum_Price,School_Count_Name,School_Mean_Reviews,School_Mean_Rating,School_Sum_Reviews,School_Sum_Rating,School_Sum_Price,Park_Count_Name,Park_Mean_Reviews,Park_Mean_Rating,Park_Sum_Reviews,Park_Sum_Rating,Transit_Count_Name,Transit_Mean_Reviews,Transit_Mean_Rating,Transit_Sum_Reviews,Transit_Sum_Rating,Grocery_Count_Name,Grocery_Mean_Reviews,Grocery_Mean_Rating,Grocery_Sum_Reviews,Grocery_Sum_Rating,Rat_Sum_Case Open?,Rat_Sum_Days Complaint Open,Rat_Count_Created Date,Rat_Count_Closed Date,Rat_Mean_Case Open?,Rat_Mean_Created Year,Rat_Mean_Created Month,Rat_Mean_Created Day,Rat_Mean_Closed Year,Rat_Mean_Closed Month,Rat_Mean_Closed Day,Rat_Mean_Days Complaint Open,Uber_Sum_Ride Count,Uber_Count_Ride Count,Uber_Mean_Month,Uber_Mean_Day,Uber_Mean_Ride Count
Bronx,Melrose,40.81975437,-73.90942161,10455,53,35,42,47,653.0954,232.8285714,3.78636788,1.382978723,8149,159.027451,65,9,16.125,4.05,129,32.4,0,12,319.25,3.908333333,3831,46.9,12,16,3.733333333,96,22.4,14,400.9285714,4.128571429,5613,57.8,23,3095,243,224,0.094650206,2016.703704,6.765432099,16.32098765,2016.991071,7.075892857,15.89285714,13.81696429,,,,,
Bronx,Mott Haven,40.80623875,-73.91609987,10454,25,0,12,24,678.72,,3.281045752,1.375,0,39.37254902,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Port Morris,40.80166363,-73.91322139,10454,73,53,56,55,645.1616449,138.3584906,4.01337535,1.472727273,7333,224.7490196,81,28,12.72727273,4.231818182,280,93.1,0,18,88.84615385,4.184615385,1155,54.4,19,14.125,4.025,113,32.2,5,392,3.98,1960,19.9,17,1164,196,181,0.086734694,2017.107143,6.423469388,15.55612245,2017.486188,6.364640884,16.06629834,6.430939227,,,,,
Bronx,Longwood,40.81509905,-73.8957882,10459,23,0,9,23,641.5217391,,3.204793028,1.260869565,0,28.84313725,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Hunts Point,40.80972988,-73.88331506,10474,60,39,41,30,647.7076823,92.20512821,3.944619799,1.433333333,3596,161.7294118,43,14,11.28571429,4.185714286,79,29.3,0,8,222,4.485714286,1554,31.4,15,4.333333333,3.166666667,13,9.5,9,80,4.157142857,560,29.1,6,743,108,102,0.055555556,2017.148148,6.824074074,15.39814815,2017.04902,6.588235294,16.53921569,7.284313725,1,1,5,18,1
Bronx,Morrisania,40.82359199,-73.90150649,10459,23,0,8,22,699.7826087,,3.362745098,1.5,0,26.90196078,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Soundview,40.8210122,-73.8657461,10473,23,0,12,22,536.5217391,,2.549019608,1.181818182,0,30.58823529,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Clason Point,40.80655112,-73.85414416,10473,7,0,0,3,780.2857143,,,1.666666667,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Throgs Neck,40.81510926,-73.81635002,10465,20,0,8,14,660.05,,3.519607843,1.571428571,0,28.15686275,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Country Club,40.84424594,-73.82409927,10461,25,0,18,25,668.96,,3.248366013,1.6,0,58.47058824,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
