,Neighbourhood,Studio,1_Bed,2_Bed
148,Unionport,,1650.0,1775
149,Van Nest,,1625.0,2200
150,Hunts Point,,1550.0,1500
151,Pomonok,,1688.0,2100
152,Bedford Park,,2825.0,2100
153,Marine Park,,2250.0,2100
154,Morris Heights,,1685.0,1900
155,New Dorp,,1450.0,1500
156,Fordham Manor,,1300.0,2050
157,Roosevelt Island,,2050.0,4478
158,Coney Island,,1550.0,2400
159,Mount Eden,,1300.0,2000
160,New Springville,,1400.0,1850
161,Silver Lake,,1300.0,2100
162,Concord,,1700.0,1900
163,Rosebank,,1775.0,1850
164,Eltingville,,1899.0,1800
165,Dongan Hills,,2400.0,1800
166,Woodstock,,1395.0,1950
167,Westchester Village,,1700.0,1725
168,Manhattan Beach,,2300.0,2250
169,Arden Heights,,1650.0,2250
170,Pelham Parkway,,1450.0,2150
171,Vinegar Hill,,1500.0,4500
172,Floral Park,,1650.0,2300
173,Oakwood,,1200.0,1725
174,East Tremont,,1600.0,1800
175,Mill Basin,,1400.0,1950
176,Woodlawn Heights,,1650.0,2100
177,Morrisania,,1500.0,1879
178,Midland Beach,,1400.0,1700
179,Prospect Park,,1400.0,4650
180,University Heights,,1100.0,1995
181,Belmont,,1400.0,1856
182,Willowbrook,,1500.0,1550
183,Melrose,,1550.0,2095
184,Clearview,,1500.0,2300
185,Gerritsen Beach,,1750.0,2600
186,Marble Hill,,3350.0,1825
187,Castle Hill,,1895.0,2300
188,Graniteville,,1350.0,1850
189,Bulls Head,,1975.0,1475
190,Grant City,,1200.0,1900
191,West Farms,,1600.0,1700
192,Co-Op City,,1500.0,1575
193,Foxhurst,,3395.0,1750
194,Bronx Park,,,2929
195,Fort Wadsworth,,,5595
196,Holliswood,,,1852
197,Flushing Meadows-Corona Park,,,2300
198,Manor Heights,,,1450
199,Blissville,,,2000
200,Van Cortlandt Park,,,1983
201,Castleton Corners,,,1400
202,Brooklyn Navy Yard,,,5345
203,Travis - Chelsea,,,1800
204,Longwood,,,1377
