<<<<<<< HEAD
Neighbourhood,Distance (m),Reviews,Rating,Price,Latitude,Longitude,Zipcode
Allerton,,352.27777777777777,4.038888888888889,1.0,40.87620531666667,-73.87282387777776,10467.0
Astoria Heights,,432.0,4.26,2.0,40.7731133,-73.90551837999999,11105.0
Bath Beach,,309.76,4.044,2.0,40.602256744,-73.997827104,11214.0
Bay Terrace,,783.5,4.199999999999999,2.0,40.6649062,-73.96473915,10308.0
Baychester,,740.25,3.95,2.0,40.8782912,-73.829742375,10475.0
Bayside,,11.0,3.5,,40.7647042,-73.7718975,11361.0
Bayswater,,222.2,4.09,,40.601484729999996,-73.75332936999999,11691.0
Bedford Stuyvesant,,343.375,3.98125,2.0,40.680671870588235,-73.94813827058823,11216.0
Bellaire,,358.0,3.9333333333333336,,40.7457439,-73.75721203333333,11364.0
Bellerose,,528.4,4.32,,40.733300979999996,-73.72282374,11426.0
Belmont,,287.6363636363636,3.972727272727272,1.5,40.863714775,-73.89041431666666,10458.0
Boerum Hill,,656.1428571428571,3.8857142857142857,2.3333333333333335,40.684043942857144,-73.98061687142857,11217.0
Borough Park,,238.0,4.3,2.0,40.626082528,-73.988353216,11219.0
Briarwood,,280.5,4.25,,40.702961737500004,-73.80757325,11435.0
Bronxdale,,206.77272727272728,4.254545454545454,2.0,40.84089499565217,-73.85918680434783,10462.0
Brookville,,66.5,3.95,1.0,40.670229,-73.7466288,11413.0
Brownsville,,227.35294117647058,3.835294117647059,1.5,40.663240627777775,-73.9140992388889,11212.0
Bushwick,,291.05882352941177,4.082352941176471,1.5,40.69297354117647,-73.93107115882353,11221.0
Bushwick and Williamsburg,,233.125,4.3625,2.0,40.701823624999996,-73.92157276249999,
Cambria Heights,,2459.0,4.1,,40.6954177,-73.74198109999999,11411.0
Canarsie and Flatlands,,826.0,4.3,1.0,40.6511746,-73.87498193333333,
Carnegie Hill,,483.8333333333333,3.8833333333333333,3.0,40.7767895375,-73.95363935,10028.0
Castle Hill,,366.25,3.9499999999999997,1.0,40.8189061125,-73.859089025,10473.0
Central Harlem,,213.44444444444446,3.8666666666666663,1.5,40.8115584,-73.94738363,10030.0
Chelsea and Clinton,,533.5555555555555,4.077777777777778,2.0,40.76293071818182,-73.98816126818181,
City Island,,70.0,4.2,,40.849233,-73.7875751,10464.0
City Line,,615.7142857142857,4.1,2.0,40.682784971428575,-73.8557967,11416.0
Civic Center,,585.2142857142857,4.364285714285715,1.4285714285714286,40.71799539285714,-73.9987467642857,10013.0
Claremont Village,,285.2,3.9799999999999995,2.0,40.82246984166667,-73.895317025,10459.0
Clinton,,440.5,4.616666666666666,,40.7550761125,-73.99069661249999,10018.0
Clinton Hill,,322.27272727272725,4.109090909090909,1.0,40.68037833846154,-73.9634392076923,11238.0
College Point,,593.5,4.3999999999999995,2.0,40.782730528571435,-73.84349145714285,11356.0
Concord,,392.0,4.04,1.0,40.60746874,-74.0727047,10305.0
Concourse Village,,167.58823529411765,4.035294117647059,1.5,40.83082186,-73.90928844499999,10456.0
Cypress Hills,,194.4,4.096,1.5,40.678605772,-73.872477484,11208.0
Ditmas Park,,470.6666666666667,4.283333333333333,1.0,40.64256427692308,-73.97960611538461,11218.0
Dumbo,,730.5,3.875,1.5,40.69571520769231,-73.98831381538461,11201.0
East Harlem,,376.3333333333333,4.133333333333334,2.0,40.79242975,-73.94475605833334,10035.0
East Tremont,,370.84615384615387,4.2153846153846155,1.5,40.84940446923077,-73.89743167692308,10457.0
East Williamsburg,,219.1,4.33,,40.7022978,-73.94279232727273,11206.0
Edenwald,,899.5714285714286,4.114285714285714,1.0,40.869359499999995,-73.8478601,10469.0
Edgewater Park,,376.0,4.2,,40.823438700000004,-73.8258783,10465.0
Elm Park,,421.0,3.766666666666667,,40.62899793333333,-74.13608799999999,10303.0
Erasmus,,192.35294117647058,3.835294117647059,2.0,40.647483349999995,-73.95692584444444,11226.0
Financial District,,629.25,4.175,1.6666666666666667,40.708509225,-74.00368925,10038.0
Flatbush,,360.3333333333333,4.033333333333333,,40.62971299999999,-73.94794946666666,11218.0
Flatiron,,288.8333333333333,3.9166666666666665,3.0,40.74107645,-74.0011113875,10011.0
Floral Park,,465.3333333333333,4.2,,40.73708656666667,-73.7097692,11004.0
Flushing,,800.8571428571429,3.978571428571428,1.3333333333333333,40.76424201875,-73.82811645625,11354.0
Forest Hills Gardens,,333.8888888888889,4.199999999999999,,40.7283652,-73.84931004,11375.0
Fort Greene,,600.0,4.2375,2.0,40.6949601,-73.9653747125,11205.0
Fort Hamilton,,341.61538461538464,4.169230769230769,2.0,40.624981115384614,-74.02805386923077,11209.0
Fox Hills,,212.5,4.133333333333334,1.5,40.6164629,-74.08470021666666,10304.0
Gerritsen Beach,,728.047619047619,4.214285714285714,1.3333333333333333,40.58274154090909,-73.95622148636363,11235.0
Glendale,,350.3333333333333,4.311111111111111,2.0,40.70432947,-73.90022991999999,11385.0
Gramercy,,902.2,3.7700000000000005,2.0,40.73938227,-73.98396617,10010.0
Gravesend,,179.1818181818182,4.318181818181818,2.0,40.59950625833333,-73.969650675,11223.0
Greenpoint,,153.88888888888889,4.355555555555556,2.0,40.73102922222222,-73.95298981111111,11222.0
Greenwich Village,,1281.125,4.25,2.0,40.73219464444444,-73.99076666666666,10003.0
Hamilton Heights,,1024.6666666666667,3.766666666666667,,40.82609733333334,-73.93843813333332,10039.0
Hammels,,505.0,3.7,1.0,40.586973949999994,-73.8119696,11693.0
HighBridge and Morrisania,,228.16666666666666,3.783333333333333,2.0,40.82101665,-73.91519845,
