Neighbourhood,Distance (m),Reviews,Rating,Price,Latitude,Longitude,Zipcode
Somerville,0.0,2405.0,21.3,2.0,202.95880339999997,-368.9741639,58460.0
South Ozone Park,0.0,1581.0,7.9,0.0,81.34401569999999,-147.6317957,22840.0
South Side,0.0,3881.0,35.6,4.0,366.3884144,-665.662153,101241.0
Southeast Queens,0.0,1537.0,7.9,0.0,122.1537616,-221.2213863,0.0
Southwest Brooklyn,0.0,965.0,8.600000000000001,0.0,81.24484530000001,-148.0241032,0.0
Southwest Queens,0.0,409.0,3.9,0.0,40.6836977,-73.83340729999999,0.0
Springfield Gardens,0.0,1785.0,25.1,0.0,284.73182369999995,-516.4178628,80038.0
Spuyten Duyvil,0.0,9280.0,45.1,5.0,449.6695947,-812.9648986999999,115093.0
St. Albans,0.0,945.0,17.1,1.0,162.788675,-295.04583499999995,45648.0
Stuyvesant Town,0.0,3293.0,35.8,2.0,366.5385264,-665.8143728,90081.0
Sunnyside Gardens,0.0,2750.0,37.9,0.0,366.6898296,-665.2720586,99936.0
Sunset Park,0.0,3899.0,65.6,2.0,772.2368505,-1406.1469504,213180.0
Sutton Place,0.0,995.0,20.5,4.0,203.8234203,-369.8146471,50325.0
Tottenville,0.0,259.0,4.3,0.0,40.51791600000001,-74.236158,10307.0
Tudor City,0.0,2619.0,25.7,2.0,244.5092366,-443.84556019999997,60102.0
Turtle Bay,0.0,3330.0,16.8,3.0,203.78788659999998,-369.82454659999996,50110.0
Unionport,0.0,3229.0,24.8,2.0,244.98427519999998,-443.17716759999996,62832.0
Upper East Side,0.0,4044.0,39.7,6.0,407.7197887,-739.5503021999999,100280.0
Upper West Side,0.0,1028.0,23.9,0.0,244.7288975,-443.84037789999996,60144.0
Van Nest,0.0,2338.0,44.5,3.0,490.0955268,-886.5819014,125520.0
Washington Heights,0.0,676.0,3.9,0.0,40.8434234,-73.93845759999999,10032.0
Weeksville,0.0,1779.0,34.2,1.0,325.4319627,-591.3678064,89864.0
West Central Queens,0.0,6921.0,40.2,3.0,407.29504139999995,-738.6144804,0.0
West Queens,0.0,4669.0,61.4,2.0,692.7495703999999,-1256.2262008,0.0
West Village,0.0,850.0,15.9,0.0,162.9339299,-296.0203633,40056.0
Westerleigh,0.0,333.0,29.6,1.0,365.68888630000004,-667.2172918,92718.0
Willowbrook,0.0,6995.0,33.199999999999996,4.0,324.8560151,-593.1589017,82512.0
Wingate,0.0,2810.0,65.1,2.0,732.0594421,-1330.8042053,201834.0
Woodhaven,0.0,1598.0,36.5,3.0,366.2262589,-664.7321453,102789.0
Woodlawn,0.0,5190.0,50.1,2.0,490.6721331,-886.2240529999999,125592.0
Woodside,0.0,260.0,11.9,0.0,122.23782580000004,-221.7058224,34116.0
