Neighbourhood,Case Open?,Latitude,Longitude,Incident Zip,Created Year,Created Month,Created Day,Closed Year,Closed Month,Closed Day,Days Complaint Open
Maspeth,5,4438.808288567832,-8055.355882628241,1240202.0,219807,771,1744,209719.0,722.0,1686.0,877.0
Melrose,23,9836.606465294351,-17811.69919920287,2540565.0,490059,1644,3966,451806.0,1585.0,3560.0,3095.0
Middle Village,12,4804.753440459679,-8717.92130169298,1342722.0,237973,824,1798,213799.0,755.0,1751.0,1667.0
Midtown,0,40.754717117384494,-73.98170387813731,10036.0,2013,10,18,2013.0,11.0,4.0,17.0
Midtown South,12,4563.395977698712,-8285.699007789255,1171872.0,235979,738,1906,211787.0,668.0,1814.0,989.0
Mill Basin,19,4996.5771351591375,-9092.69638166316,1393016.0,250108,787,2040,213789.0,676.0,1809.0,1292.0
Morningside Heights,38,19915.23220788156,-36088.01261717445,4953338.0,996442,3223,7986,923873.0,3122.0,7415.0,5478.0
Mount Eden,10,10658.230116566123,-19293.943560315067,2727972.0,526415,1693,4072,506277.0,1649.0,3900.0,1747.0
Mount Hope,30,14175.656994198765,-25647.29275331112,3627191.0,699898,2199,5506,645519.0,2115.0,4838.0,3832.0
Murray Hill,5,1956.608594844543,-3542.3765786816734,556542.0,98883,332,764,88782.0,295.0,669.0,530.0
Noho,13,4887.05607659736,-8879.81679302582,1211452.0,244001,853,1946,219792.0,800.0,1904.0,1442.0
North Corona,16,8393.827018899114,-15215.19191376016,2341808.0,415632,1321,3197,383394.0,1246.0,3040.0,2931.0
North Riverdale,4,1799.60656883429,-3251.6200429707437,460724.0,88815,285,625,80750.0,278.0,596.0,511.0
North Side,36,16855.10483304374,-30615.943168169248,4674987.0,841189,2790,6521,766543.0,2586.0,6129.0,5547.0
Northeast Bronx,3,2208.635416192112,-3988.4104706003354,575850.0,111033,389,808,104971.0,350.0,792.0,300.0
Northeast Queens,1,244.63549654169879,-442.4686576478252,68178.0,12080,42,82,10070.0,41.0,83.0,90.0
Ocean Parkway,21,5850.0201942298245,-10651.003212988513,1617120.0,290561,997,2214,248204.0,878.0,1756.0,1407.0
Paerdegat Basin,23,6136.774191322143,-11159.62441481342,1719108.0,308469,1078,2505,264110.0,947.0,2265.0,1430.0
Park Slope,40,19195.12901292249,-34920.47386236542,5383200.0,968454,3107,7541,887821.0,3058.0,7164.0,7793.0
Pelham Bay,3,4534.1097944948415,-8196.223269295911,1161171.0,223881,706,1732,219866.0,671.0,1752.0,1153.0
Pomonok,0,773.9535527615562,-1402.1867303082488,215935.0,38310,114,289,38310.0,119.0,349.0,210.0
Port Morris,17,7957.5221992127235,-14414.385838112916,2048984.0,395353,1259,3049,365165.0,1152.0,2908.0,1164.0
Port Richmond,5,4753.973216709453,-8672.103743604857,1226890.0,240071,760,1851,229980.0,775.0,1885.0,1752.0
Prospect Lefferts Gardens,35,14720.680375212249,-26771.4316266741,4074675.0,732285,2234,5636,665741.0,2114.0,5045.0,4484.0
Queens Village,4,2116.8711181524272,-3834.4138250267292,605737.0,106841,323,836,98775.0,307.0,796.0,501.0
Queensboro Hill,7,3545.641822507021,-6422.594410280891,987885.0,175572,584,1375,163457.0,545.0,1174.0,716.0
Queensbridge,19,7456.823688239439,-13531.163461124881,2042584.0,371189,1221,2952,332847.0,1160.0,2454.0,2151.0
Randall Manor,5,4916.980652867947,-8964.547248430303,1267023.0,248115,773,1972,238042.0,745.0,1859.0,1795.0
Red Hook,22,6427.50727131721,-11691.894913807553,1774498.0,318783,1047,2530,270394.0,905.0,2140.0,1580.0
Richmond Hill,7,3459.3596464732022,-6275.574757975154,970530.0,171475,530,1311,157352.0,495.0,1318.0,723.0
