Neighbourhood,Distance (m),Reviews,Rating,Price,Latitude,Longitude,Zipcode
Allerton,515.2963233685742,182.9848484848485,3.6818494965553787,1.21875,40.8721971550718,-73.8679943531129,10467.0
Annadale,399.3,,3.03921568627451,1.5625,40.53811417474507,-74.17854866165878,10312.0
Arden Heights,701.1428571428571,,3.013071895424837,1.3333333333333333,40.54928582278321,-74.18588674583893,10312.0
Arlington,587.3529411764706,,2.3333333333333335,1.1111111111111112,40.63532509911492,-74.16510420241124,10303.0
Arrochar,477.625,,2.9271708683473396,1.5333333333333334,40.596312571276734,-74.06712363225574,10305.0
Arverne,531.4666666666667,,3.258823529411765,1.4166666666666667,40.58914394372971,-73.79199233136943,11692.0
Astoria,614.68,,4.425882352941176,1.7826086956521738,40.76850859335492,-73.91565374304234,11105.0
Astoria Heights,882.6238393618942,469.8727272727273,4.045066915655151,1.6428571428571428,40.77284105192071,-73.9045229064563,11105.0
Auburndale,663.76,,3.249411764705883,1.5833333333333333,40.76172954903262,-73.79176243728061,11358.0
Bath Beach,608.5508293328061,298.719298245614,3.85977508650519,1.5757575757575757,40.60231223737293,-73.9981370431749,11214.0
Battery Park City,599.3333333333334,,4.313725490196079,1.8095238095238095,40.71193198394565,-74.01686930508617,10013.0
Bay Ridge,562.64,,3.7607843137254906,1.92,40.625801065010656,-74.03062069353813,11209.0
Bay Terrace,605.3019064169257,243.48648648648648,3.877587490692479,1.7692307692307692,40.63513028686334,-74.01334555933614,10308.0
Baychester,633.7594189890752,608.3333333333334,3.361764705882353,1.5686274509803921,40.872582822490195,-73.82982027203522,10475.0
Bayside,643.2250216053088,574.4782608695652,3.8467109424414927,1.894736842105263,40.764180493375484,-73.77444419947378,11361.0
Bayswater,530.5107164222989,131.46666666666667,3.6159477124183006,1.1538461538461537,40.602050286450115,-73.75799220472885,11691.0
Bedford Park,539.04,,2.8883861236802417,1.2916666666666667,40.870185164975325,-73.8855121841913,10467.0
Bedford Stuyvesant,733.0791815750126,261.06382978723406,4.174367718101734,1.6031746031746033,40.68125645436219,-73.94603275952345,11216.0
Beechhurst,671.92,,3.399077277970012,1.68,40.79278140360048,-73.80436451720988,11357.0
Bellaire,515.7617308892114,222.25581395348837,3.5672113289760348,1.543859649122807,40.74136909979303,-73.75088858286583,11364.0
Belle Harbor,488.8,,2.882352941176471,1.125,40.57615556543109,-73.8540175039252,11694.0
Bellerose,605.3896519081289,235.08333333333334,3.8676470588235294,1.4772727272727273,40.73094011673663,-73.7209448650414,11426.0
Belmont,589.7970134864462,322.09375,4.038247397724522,1.5733333333333333,40.85925672761471,-73.88829047248569,10458.0
Bensonhurst,654.72,,3.1868512110726646,1.3636363636363635,40.61100890202044,-73.99517998380729,11214.0
Bergen Beach,904.1666666666666,,3.470588235294118,1.6,40.61514955045308,-73.89855633630317,11234.0
Blissville,726.8,,3.3990772779700116,1.4166666666666667,40.73725071694497,-73.93244235260178,11101.0
Bloomfield,661.2857142857143,,2.1372549019607847,1.0,40.60577868452358,-74.18725638381567,10314.0
Boerum Hill,533.027016755308,747.25,4.225583566760038,2.0,40.682955114026015,-73.98072447833383,11217.0
Borough Park,658.0252400523362,209.93333333333334,3.9935409457900812,1.5454545454545454,40.631478428584956,-73.99236583575941,11219.0
Breezy Point,455.4,,3.07843137254902,1.5,40.55740128845452,-73.92551196994168,11697.0
Briarwood,749.1917842637193,306.7857142857143,3.5636500754147815,1.3829787234042554,40.707901873093356,-73.81216339489113,11435.0
Brighton Beach,338.96,,3.2689075630252105,1.75,40.57682506566604,-73.96509448785336,11235.0
Broad Channel,383.42857142857144,,4.372549019607844,1.5,40.60302658351238,-73.8200548911032,11693.0
Broadway Junction,687.32,,2.751633986928105,1.2857142857142858,40.67786104769531,-73.90331684852599,11207.0
Bronxdale,638.5297126161207,425.13235294117646,3.696934865900383,1.524390243902439,40.84238331978039,-73.85954551404342,10462.0
Brooklyn Heights,534.84,,4.39764705882353,2.16,40.69586372272408,-73.99378225496424,11201.0
Brookville,713.2417948677637,274.17391304347825,3.42721568627451,1.2692307692307692,40.66851576154684,-73.75137126578858,11413.0
Brownsville,576.3485016199085,141.19607843137254,3.628685548293391,1.2244897959183674,40.663947414588726,-73.91231676528552,11212.0
